station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40900,Howard,01/01/2001,"6,233.9","3,814.5","2,408.6","164,447"
41190,Jarvis,01/01/2001,"1,489.1","1,054",718,"40,567"
40100,Morse,01/01/2001,"4,412.5","3,064.5","2,087.8","119,772"
41300,Loyola,01/01/2001,"4,664.5","3,156","1,952.8","125,008"
40760,Granville,01/01/2001,"3,109.8","2,126","1,453.8","84,189"
40880,Thorndale,01/01/2001,"2,977.7","1,840.3","1,262.6","79,184"
41380,Bryn Mawr,01/01/2001,"4,425.4","2,708.3","1,881.2","117,597"
40340,Berwyn,01/01/2001,"3,329.6","2,050.8","1,445.6","88,683"
41200,Argyle,01/01/2001,"2,745.5","1,874.5","1,268.2","74,240"
40770,Lawrence,01/01/2001,"2,689.6","1,869","1,227.8","72,786"
40540,Wilson,01/01/2001,"4,968.1","3,069","1,903.8","131,094"
40080,Sheridan,01/01/2001,"4,455.9","2,625.8","1,685.2","116,958"
41420,Addison-North Main,01/01/2001,"4,805.5","2,893.5","1,900.2","126,797"
41320,Belmont-North Main,01/01/2001,"9,075.5","6,860.5","4,241.4","248,310"
41220,Fullerton,01/01/2001,"10,121","5,239.8","3,116.2","259,203"
40650,North/Clybourn,01/01/2001,"3,525.6","2,674.5","1,772.8","97,126"
40630,Clark/Division,01/01/2001,"6,501.5","4,726.5","3,209","177,985"
41450,Chicago/State,01/01/2001,"12,311","9,184.3","5,658.6","335,872"
40330,Grand/State,01/01/2001,"8,378.5","5,428","3,504.8","223,562"
41660,Lake/State,01/01/2001,"13,360.8","5,721.8","3,575.8","334,704"
40500,Washington/State,01/01/2001,"6,805.1","2,730.5","1,386.6","167,567"
41090,Monroe/State,01/01/2001,"7,123","2,439.3","1,269.2","172,809"
40560,Jackson/State,01/01/2001,"11,340.2","3,649","1,877.6","273,468"
41490,Harrison,01/01/2001,"2,384.7","1,208.3",715.4,"60,874"
41400,Roosevelt,01/01/2001,"5,510.8","3,170.3","2,052","144,179"
41000,Cermak-Chinatown,01/01/2001,"2,396.3","2,349.8","2,066.6","72,450"
40190,Sox-35th-Dan Ryan,01/01/2001,"3,431.9","2,124.3","1,491.6","91,457"
41230,47th-Dan Ryan,01/01/2001,"2,297.6","1,594.3","1,121.2","62,530"
41170,Garfield-Dan Ryan,01/01/2001,"4,510.2","3,181.5","1,879.4","121,347"
40910,63rd-Dan Ryan,01/01/2001,"3,631.5","2,414.8","1,817.8","98,640"
40990,69th,01/01/2001,"6,818.6","4,519.8","2,901","182,594"
40240,79th,01/01/2001,"7,406.7","4,689.5","3,187.6","197,643"
41430,87th,01/01/2001,"5,341.1","3,239.3","2,031.6","140,619"
40450,95th/Dan Ryan,01/01/2001,"14,162.6","7,472.8","4,914.4","366,040"
41050,Linden,01/01/2001,"1,075.2",413.3,219.8,"26,407"
41250,Central-Evanston,01/01/2001,942.6,449.8,242.4,"23,749"
40400,Noyes,01/01/2001,552.4,404.3,184,"14,689"
40520,Foster,01/01/2001,687.9,424,221.4,"17,937"
40050,Davis,01/01/2001,"3,564.8","2,541.5","1,313.8","95,161"
40690,Dempster,01/01/2001,649,415.8,260.6,"17,244"
40270,Main,01/01/2001,"1,213",664,355.4,"31,118"
40840,South Boulevard,01/01/2001,851.1,411.3,225.2,"21,495"
40140,Skokie,01/01/2001,"2,521.5",0,0,"55,472"
40890,O'Hare Airport,01/01/2001,"7,907.7","5,913.3","6,097.8","228,112"
40820,Rosemont,01/01/2001,"5,162.3","1,866","1,108.8","126,579"
40230,Cumberland,01/01/2001,"4,729.2","1,516.3",989.4,"115,054"
40750,Harlem-O'Hare,01/01/2001,"2,657","1,015.8",603.6,"65,534"
41280,Jefferson Park,01/01/2001,"6,619","2,717.5","1,754","165,259"
41330,Montrose-O'Hare,01/01/2001,"1,903.1",722,473.2,"47,122"
40550,Irving Park-O'Hare,01/01/2001,"3,724.1","1,671.5","1,079.4","94,013"
41240,Addison-O'Hare,01/01/2001,"2,391",790,472.4,"58,124"
40060,Belmont-O'Hare,01/01/2001,"4,548.6","2,275.5","1,528","116,812"
41020,Logan Square,01/01/2001,"4,631.6","2,231","1,396.8","117,803"
40570,California/Milwaukee,01/01/2001,"2,838.6","1,406.8",819.8,"72,176"
40670,Western/Milwaukee,01/01/2001,"2,875.5","1,293",792.6,"72,395"
40590,Damen/Milwaukee,01/01/2001,"4,115.9","1,846","1,134","103,604"
40320,Division/Milwaukee,01/01/2001,"4,362","1,952.3","1,225.4","109,899"
41410,Chicago/Milwaukee,01/01/2001,"2,109.8",662,376.2,"50,945"
40490,Grand/Milwaukee,01/01/2001,"1,138",499.5,294.4,"28,505"
40370,Washington/Dearborn,01/01/2001,"8,579.6","2,215.5","1,201.2","203,619"
40790,Monroe/Dearborn,01/01/2001,"5,668","1,041.8",540.8,"131,567"
40070,Jackson/Dearborn,01/01/2001,"7,105.5","1,856",926.6,"168,377"
41340,LaSalle,01/01/2001,"2,152.5",342.3,183.8,"49,643"
40430,Clinton-Forest Park,01/01/2001,"2,360.9",790.5,603.2,"58,118"
40350,UIC-Halsted,01/01/2001,"4,018.3",886.5,481.8,"94,358"
40470,Racine,01/01/2001,"2,136.3",805.5,372.8,"52,085"
40810,Medical Center,01/01/2001,"1,919.1","1,016.8",633.8,"49,457"
40220,Western-Forest Park,01/01/2001,937.5,664.3,387.6,"25,221"
40250,Kedzie-Homan-Forest Park,01/01/2001,"1,257.9",841.8,537.6,"33,728"
40920,Pulaski-Forest Park,01/01/2001,"1,187.7",870.3,574.8,"32,484"
40970,Cicero-Forest Park,01/01/2001,"1,004",742,459.2,"27,352"
40010,Austin-Forest Park,01/01/2001,"1,480.8",661.5,394,"37,193"
40180,Oak Park-Forest Park,01/01/2001,"1,384.1",397.5,210.2,"33,092"
40980,Harlem-Forest Park,01/01/2001,785.7,377,233.4,"19,961"
40390,Forest Park,01/01/2001,"3,516.4","1,220.5",736.8,"85,926"
41030,Polk,01/01/2001,"2,379.7",7.3,0,"52,383"
40830,18th,01/01/2001,967.3,5,0,"21,301"
40210,Damen-Cermak,01/01/2001,657.9,0.8,0,"14,477"
40740,Western-Cermak,01/01/2001,523.9,1.3,0,"11,530"
40440,California-Cermak,01/01/2001,779.7,1,0,"17,157"
41040,Kedzie-Cermak,01/01/2001,444.9,0.3,0,"9,789"
40780,Central Park,01/01/2001,453,2.3,0,"9,974"
40150,Pulaski-Cermak,01/01/2001,459.3,2.3,0,"10,114"
40600,Kostner,01/01/2001,303.2,0.5,0,"6,673"
40420,Cicero-Cermak,01/01/2001,845.6,4.5,0,"18,621"
40580,54th/Cermak,01/01/2001,"1,547.3",4,0,"34,057"
40020,Harlem-Lake,01/01/2001,"3,269.7","1,637",825.6,"82,609"
41350,Oak Park-Lake,01/01/2001,"1,362.5",480.8,285.8,"33,326"
40610,Ridgeland,01/01/2001,"1,247.2",369.3,184.2,"29,837"
41260,Austin-Lake,01/01/2001,"1,972.5",927.8,513.2,"49,673"
40280,Central-Lake,01/01/2001,"2,224.3","1,295.5",786,"58,047"
40700,Laramie,01/01/2001,"1,296.8",659.5,373.8,"33,036"
40480,Cicero-Lake,01/01/2001,"1,291.3",712.8,463.2,"33,576"
40030,Pulaski-Lake,01/01/2001,"1,509.8",884.3,561,"39,558"
41070,Kedzie-Lake,01/01/2001,"1,168.9",626,404,"30,240"
41360,California-Lake,01/01/2001,756.8,380.8,255.4,"19,449"
40170,Ashland-Lake,01/01/2001,"1,408.4",538.5,330.2,"34,790"
41160,Clinton-Lake,01/01/2001,"1,816",405.8,253,"42,841"
41120,35-Bronzeville-IIT,01/01/2001,"1,743.8",912.5,576,"44,893"
40300,Indiana,01/01/2001,568.8,317.5,224.8,"14,908"
41270,43rd,01/01/2001,764.4,430,267,"19,871"
41080,47th-South Elevated,01/01/2001,"1,242.1",789.3,468.4,"32,826"
40130,51st,01/01/2001,"1,116.7",700,448.4,"29,609"
40510,Garfield-South Elevated,01/01/2001,720.8,495,304.2,"19,359"
41140,King Drive,01/01/2001,697.8,396,220.8,"18,039"
40720,East 63rd-Cottage Grove,01/01/2001,"1,400",716.8,460.4,"35,969"
40940,Halsted/63rd,01/01/2001,707.6,461.5,271.2,"18,770"
40290,Ashland/63rd,01/01/2001,"1,774.4",927.3,648.6,"45,989"
41290,Kimball,01/01/2001,"4,022.5","2,128.8","1,110.6","102,564"
41180,Kedzie-Brown,01/01/2001,"1,444.7",902.8,554.8,"38,169"
40870,Francisco,01/01/2001,"1,085.5",459,235.4,"26,893"
41010,Rockwell,01/01/2001,"1,267",512.8,295.8,"31,403"
41480,Western-Brown,01/01/2001,"3,421.9","1,631.5",902.8,"86,321"
40090,Damen-Brown,01/01/2001,"2,083.4","1,030.5",536.2,"52,637"
41500,Montrose-Brown,01/01/2001,"2,016.1",910.8,489.6,"50,446"
41460,Irving Park-Brown,01/01/2001,"2,315",932.5,471.8,"57,018"
41440,Addison-Brown,01/01/2001,"1,794.9",637.8,291,"43,494"
41310,Paulina,01/01/2001,"2,030.4",943.3,495.4,"50,919"
40360,Southport,01/01/2001,"2,668.3",991,520,"65,267"
41210,Wellington,01/01/2001,"2,539.9",759.8,378.8,"60,810"
40530,Diversey,01/01/2001,"4,286","1,883.5",867.2,"106,162"
40660,Armitage,01/01/2001,"3,338","1,060.5",484.8,"80,102"
40800,Sedgwick,01/01/2001,"2,132.2",963.3,498.8,"53,255"
40710,Chicago/Franklin,01/01/2001,"4,052.4","1,354",550.8,"97,322"
40460,Merchandise Mart,01/01/2001,"6,107.6","1,022.3",347.6,"140,195"
40930,Midway Airport,01/01/2001,"7,579.6","2,506","1,915.6","186,353"
40960,Pulaski-Orange,01/01/2001,"5,021.7","1,257.8",605.6,"118,537"
41150,Kedzie-Midway,01/01/2001,"2,907.8","1,150",583.4,"71,488"
40310,Western-Orange,01/01/2001,"3,216.8","1,051.3",552.6,"77,738"
40120,35th/Archer,01/01/2001,"2,034.3",640.8,343.4,"49,035"
41060,Ashland-Orange,01/01/2001,"1,280",553.5,304,"31,895"
41130,Halsted-Orange,01/01/2001,"2,385.1",679.3,357.4,"56,976"
40730,Washington/Wells,01/01/2001,"7,217.2",718.3,303,"163,166"
41010,Rockwell,04/01/2006,0,0,0,0
40040,Quincy/Wells,01/01/2001,"7,928.3",895.8,431,"180,161"
40160,LaSalle/Van Buren,01/01/2001,"3,638.3",300,123.4,"81,860"
40850,Library,01/01/2001,"2,391.6",701.8,248,"56,662"
40680,Adams/Wabash,01/01/2001,"6,918.8","2,206",978.2,"165,928"
40640,Madison/Wabash,01/01/2001,"3,693.4","1,200",388,"87,994"
40200,Randolph/Wabash,01/01/2001,"5,544.6","1,913",896.4,"134,115"
40260,State/Lake,01/01/2001,"8,352.5","3,808.5","2,390.8","210,942"
40380,Clark/Lake,01/01/2001,"15,174.9","2,356.3","1,363.4","350,089"
40900,Howard,02/01/2001,"6,389.5","3,761","2,534.3","152,971"
41190,Jarvis,02/01/2001,"1,510.5","1,079.3",756.5,"37,553"
40100,Morse,02/01/2001,"4,478.1","2,999.8","2,155.8","110,184"
41300,Loyola,02/01/2001,"5,010","3,339.8","2,143","122,130"
40760,Granville,02/01/2001,"3,288.7","2,210.3","1,601.8","81,022"
40880,Thorndale,02/01/2001,"3,099.1","1,866","1,343.8","74,821"
41380,Bryn Mawr,02/01/2001,"4,547.2","2,706.8","1,997.8","109,762"
40340,Berwyn,02/01/2001,"3,420.1","2,073.8","1,564.3","82,954"
41200,Argyle,02/01/2001,"2,775","1,764.3","1,311","67,801"
40770,Lawrence,02/01/2001,"2,742.4","1,864","1,386.3","67,848"
40540,Wilson,02/01/2001,"5,368.7","3,341.3","2,085","129,078"
40080,Sheridan,02/01/2001,"4,518","2,572.3","1,784.8","107,787"
41420,Addison-North Main,02/01/2001,"4,992.7","2,905.5","1,965","119,335"
41320,Belmont-North Main,02/01/2001,"9,317.7","6,584.5","4,737.8","231,643"
41220,Fullerton,02/01/2001,"10,417.9","5,102","3,505.3","242,787"
40650,North/Clybourn,02/01/2001,"3,576.6","2,561","1,915.8","89,439"
40630,Clark/Division,02/01/2001,"6,703.9","4,672.8","3,485.8","166,712"
41450,Chicago/State,02/01/2001,"12,516.1","8,718.3","6,122.5","309,684"
40330,Grand/State,02/01/2001,"8,246.9","5,431","3,910.8","202,304"
41660,Lake/State,02/01/2001,"13,598.5","5,792.3","3,971","311,022"
40500,Washington/State,02/01/2001,"6,979.9","2,758","1,540","156,790"
41090,Monroe/State,02/01/2001,"7,399","2,665","1,488.5","164,594"
40560,Jackson/State,02/01/2001,"11,756","3,877.3","2,125.8","259,132"
41490,Harrison,02/01/2001,"2,645.3","1,287",775.8,"61,156"
41400,Roosevelt,02/01/2001,"5,766.3","3,365.8","2,268.3","137,861"
41000,Cermak-Chinatown,02/01/2001,"2,553.9","2,574","2,002","69,382"
40190,Sox-35th-Dan Ryan,02/01/2001,"3,588.6","2,165","1,604.8","86,850"
41230,47th-Dan Ryan,02/01/2001,"2,400.7","1,603.3","1,197.3","59,216"
41170,Garfield-Dan Ryan,02/01/2001,"4,587.7","3,002.8","2,019.3","111,842"
40910,63rd-Dan Ryan,02/01/2001,"3,586.3","2,416.5","1,950.5","89,194"
40990,69th,02/01/2001,"6,869.5","4,392.8","2,994","166,937"
40240,79th,02/01/2001,"7,489.3","4,700","3,330.3","181,907"
41430,87th,02/01/2001,"5,454.7","3,301.5","2,206.3","131,125"
40450,95th/Dan Ryan,02/01/2001,"14,445.6","7,166.5","5,282.8","338,708"
41050,Linden,02/01/2001,"1,095.9",411.8,252.3,"24,573"
41250,Central-Evanston,02/01/2001,955.2,501.3,269.3,"22,185"
40400,Noyes,02/01/2001,593.2,431,215.3,"14,449"
40520,Foster,02/01/2001,708.9,387.5,240.3,"16,688"
40050,Davis,02/01/2001,"3,528.9","2,515.3","1,442.8","86,409"
40690,Dempster,02/01/2001,673.7,415.8,278.3,"16,249"
40270,Main,02/01/2001,"1,213.8",655.3,377.8,"28,407"
40840,South Boulevard,02/01/2001,841.8,383.3,233,"19,300"
40140,Skokie,02/01/2001,"2,545.5",0,0,"50,909"
40890,O'Hare Airport,02/01/2001,"7,844.5","5,748.3","6,120.8","204,366"
40820,Rosemont,02/01/2001,"5,236.2","1,996.3","1,327.8","118,020"
40230,Cumberland,02/01/2001,"4,760.3","1,561.5","1,084.8","105,790"
40750,Harlem-O'Hare,02/01/2001,"2,706.4","1,011.5",650.3,"60,775"
41280,Jefferson Park,02/01/2001,"6,661.4","2,645.8","1,872","151,298"
41330,Montrose-O'Hare,02/01/2001,"1,958.6",690,489.3,"43,889"
40550,Irving Park-O'Hare,02/01/2001,"3,661","1,587.3","1,130.5","84,091"
41240,Addison-O'Hare,02/01/2001,"2,487.2",800.8,543.5,"55,121"
40060,Belmont-O'Hare,02/01/2001,"4,606.1","2,231.3","1,586.5","107,392"
41020,Logan Square,02/01/2001,"4,636","2,252","1,496","107,712"
40570,California/Milwaukee,02/01/2001,"2,912.7","1,374",865.3,"67,211"
40670,Western/Milwaukee,02/01/2001,"2,844.2","1,254.3",773.5,"64,994"
40590,Damen/Milwaukee,02/01/2001,"4,170.4","1,789.5","1,266","95,630"
40320,Division/Milwaukee,02/01/2001,"4,484.4","1,940.3","1,324","102,745"
41410,Chicago/Milwaukee,02/01/2001,"2,204.9",703.5,423.5,"48,606"
40490,Grand/Milwaukee,02/01/2001,"1,152.5",479.5,292.5,"26,138"
40370,Washington/Dearborn,02/01/2001,"8,890.6","2,275.5","1,379","192,430"
40790,Monroe/Dearborn,02/01/2001,"5,945.8","1,102.3",652.3,"125,934"
40070,Jackson/Dearborn,02/01/2001,"7,392.2","1,903.5","1,041.3","159,623"
41340,LaSalle,02/01/2001,"2,208.6",354.3,191.5,"46,354"
40430,Clinton-Forest Park,02/01/2001,"2,278.2",744.5,648.5,"51,136"
40350,UIC-Halsted,02/01/2001,"4,405.3",963,598.8,"94,352"
40470,Racine,02/01/2001,"2,242.7",768.5,425,"49,627"
40810,Medical Center,02/01/2001,"1,969.9",987.5,613,"45,799"
40220,Western-Forest Park,02/01/2001,991.9,635.3,422.3,"24,067"
40250,Kedzie-Homan-Forest Park,02/01/2001,"1,297.6",853.8,564,"31,622"
40920,Pulaski-Forest Park,02/01/2001,"1,215.2",797,611.3,"29,937"
40970,Cicero-Forest Park,02/01/2001,"1,044.3",692,493.5,"25,627"
40010,Austin-Forest Park,02/01/2001,"1,527.8",639.5,400.3,"34,714"
40180,Oak Park-Forest Park,02/01/2001,"1,394.1",392.3,233.3,"30,384"
40980,Harlem-Forest Park,02/01/2001,802.3,390.3,276.3,"18,711"
40390,Forest Park,02/01/2001,"3,568.1","1,183.5",771.3,"79,180"
41030,Polk,02/01/2001,"2,298.3",4,0.5,"45,983"
40830,18th,02/01/2001,997.6,0.8,0,"19,955"
40210,Damen-Cermak,02/01/2001,671,0.3,0,"13,421"
40740,Western-Cermak,02/01/2001,548.7,3,0,"10,986"
40440,California-Cermak,02/01/2001,797.7,0.5,0,"15,955"
41040,Kedzie-Cermak,02/01/2001,441.3,1.8,0,"8,833"
40780,Central Park,02/01/2001,455.9,2,0,"9,126"
40150,Pulaski-Cermak,02/01/2001,473.9,1.5,0,"9,484"
40600,Kostner,02/01/2001,314.3,0.3,0,"6,286"
40420,Cicero-Cermak,02/01/2001,883,3.5,0,"17,673"
40580,54th/Cermak,02/01/2001,"1,587.4",7,0,"31,776"
40020,Harlem-Lake,02/01/2001,"3,288.3","1,563.5",926.3,"75,724"
41350,Oak Park-Lake,02/01/2001,"1,382",499,331.8,"30,962"
40610,Ridgeland,02/01/2001,"1,282.2",368.3,206.3,"27,942"
41260,Austin-Lake,02/01/2001,"1,902.5",877.5,533.8,"43,695"
40280,Central-Lake,02/01/2001,"2,372.6","1,238.5",848.3,"55,799"
40700,Laramie,02/01/2001,"1,335.8",631.8,403.5,"30,856"
40480,Cicero-Lake,02/01/2001,"1,322.9",679,452.8,"30,985"
40030,Pulaski-Lake,02/01/2001,"1,530.6",876.5,618.3,"36,591"
41070,Kedzie-Lake,02/01/2001,"1,225.5",610.8,433,"28,685"
41360,California-Lake,02/01/2001,792.9,375.5,284.3,"18,497"
