station_id	station_name	year	month_beginning	avg_weekday	avg_saturday	avg_sunday	month_total (thousands)	zipcode	lat	long	population (thousands)	income (thousand)	station_count	taxi_records (thousands)
40900	Howard	2019	1	4649.000000	3064.500000	2364.800000	126.361000	60626	42.019063	-87.672892	59.251000	31.318	9	5.094
41190	Jarvis	2019	1	1286.000000	1037.800000	802.200000	36.453000	60626	42.015876	-87.669092	59.251000	31.318	9	5.094
40100	Morse	2019	1	3860.800000	2678.000000	2151.600000	106.407000	60626	42.008362	-87.665909	59.251000	31.318	9	5.094
41300	Loyola	2019	1	4310.600000	3192.300000	2473.600000	119.971000	60660	42.001073	-87.661061	47.726000	34.293	4	10.078
40760	Granville	2019	1	3333.100000	2462.800000	1841.000000	92.385000	60660	41.993664	-87.659202	47.726000	34.293	4	10.078
40880	Thorndale	2019	1	2658.800000	1688.300000	1296.600000	71.729000	60660	41.990259	-87.659076	47.726000	34.293	4	10.078
41380	Bryn Mawr	2019	1	4037.600000	2662.800000	1974.000000	109.348000	60660	41.983504	-87.658840	47.726000	34.293	4	10.078
40540	Wilson	2019	1	5789.300000	3707.500000	2684.800000	155.619000	60613	41.964273	-87.657588	50.548000	48.381	5	12.904
40080	Sheridan	2019	1	4260.400000	2597.500000	1861.000000	113.423000	60613	41.953775	-87.654929	50.548000	48.381	5	12.904
41420	Addison-North Main	2019	1	5409.300000	3418.300000	2978.200000	147.569000	60657	41.947428	-87.653626	66.789000	55.647	6	34.835
41320	Belmont-North Main	2019	1	10183.300000	7123.000000	5562.600000	280.337000	60657	41.939751	-87.653380	66.789000	55.647	6	34.835
41220	Fullerton	2019	1	11121.300000	6136.500000	4827.400000	293.352000	60614	41.925051	-87.652866	65.474000	68.324	3	24.949
40650	North/Clybourn	2019	1	4874.300000	3877.000000	3023.800000	137.861000	60614	41.910655	-87.649177	65.474000	68.324	3	24.949
40630	Clark/Division	2019	1	6598.400000	4857.800000	3781.400000	183.502000	60610	41.903920	-87.631412	47.513000	51.294	4	360.956
41450	Chicago/State	2019	1	11662.700000	8252.500000	6344.000000	321.309000	60610	41.896671	-87.628176	47.513000	51.294	4	360.956
40330	Grand/State	2019	1	9208.100000	7657.800000	6362.200000	265.020000	60601	41.891665	-87.628021	5.591000	77.374	1	335.487
41000	Cermak-Chinatown	2019	1	2923.100000	2995.500000	2416.800000	88.375000	60616	41.853206	-87.630968	47.073000	30.625	5	3.589
40190	Sox-35th-Dan Ryan	2019	1	3119.900000	1763.300000	1552.400000	83.453000	60616	41.831191	-87.630636	47.073000	30.625	5	3.589
41230	47th-Dan Ryan	2019	1	2296.200000	1610.000000	1287.600000	63.395000	60653	41.810318	-87.630940	34.502000	14.205	4	1.548
41170	Garfield-Dan Ryan	2019	1	2525.000000	1893.300000	1423.800000	70.241000	60621	41.795420	-87.631157	47.514000	19.718	4	0.296
40910	63rd-Dan Ryan	2019	1	2561.300000	1736.000000	1474.200000	70.664000	60621	41.780536	-87.630952	47.514000	19.718	4	0.296
40990	69th	2019	1	4013.100000	2913.500000	2368.400000	111.784000	60621	41.768367	-87.625724	47.514000	19.718	4	0.296
40240	79th	2019	1	5349.000000	3741.800000	3134.800000	148.318000	60619	41.750419	-87.625112	74.963000	33.631	3	0.931
41430	87th	2019	1	3236.300000	2243.000000	1845.400000	89.398000	60619	41.735372	-87.624717	74.963000	33.631	3	0.931
40450	95th/Dan Ryan	2019	1	7984.000000	4788.800000	3911.000000	214.357000	60619	41.722377	-87.624342	74.963000	33.631	3	0.931
41050	Linden	2019	1	727.100000	343.800000	237.400000	18.559000	60645	42.073153	-87.690730	44.197000	41.438	2	5.282
41250	Central-Evanston	2019	1	674.700000	285.300000	256.200000	17.266000	60645	42.063987	-87.685617	44.197000	41.438	2	5.282
40400	Noyes	2019	1	824.800000	465.300000	301.400000	21.513000	60626	42.058282	-87.683337	59.251000	31.318	9	5.094
40520	Foster	2019	1	683.800000	430.000000	257.200000	18.050000	60626	42.054160	-87.683560	59.251000	31.318	9	5.094
40050	Davis	2019	1	3094.000000	1969.000000	1396.800000	82.929000	60626	42.047710	-87.683543	59.251000	31.318	9	5.094
40690	Dempster	2019	1	695.500000	520.800000	393.000000	19.350000	60626	42.041655	-87.681602	59.251000	31.318	9	5.094
40270	Main	2019	1	990.400000	648.500000	458.000000	26.673000	60626	42.033456	-87.679538	59.251000	31.318	9	5.094
40840	South Boulevard	2019	1	673.200000	334.300000	209.600000	17.196000	60626	42.027612	-87.678329	59.251000	31.318	9	5.094
40140	Dempster-Skokie	2019	1	1512.800000	624.300000	506.200000	38.310000	60646	42.038951	-87.751919	27.016000	58.232	2	0.402
41680	Oakton-Skokie	2019	1	810.000000	279.500000	203.200000	19.954000	60646	42.026243	-87.747221	27.016000	58.232	2	0.402
40890	O'Hare Airport	2019	1	8986.000000	7233.300000	8606.400000	269.656000	60656	41.977665	-87.904223	27.129000	47.512	3	84.081
40820	Rosemont	2019	1	5133.200000	2486.000000	1934.200000	132.545000	60656	41.983507	-87.859388	27.129000	47.512	3	84.081
40230	Cumberland	2019	1	3665.400000	1241.500000	996.000000	90.585000	60656	41.984246	-87.838028	27.129000	47.512	3	84.081
40750	Harlem-O'Hare	2019	1	2552.500000	1019.000000	745.000000	63.955000	60631	41.982270	-87.808900	28.832000	55.316	1	1.047
41280	Jefferson Park	2019	1	5373.200000	2653.800000	2113.800000	139.394000	60630	41.970634	-87.760892	54.781000	47.905	1	2.441
41330	Montrose-O'Hare	2019	1	2339.400000	1005.500000	779.400000	59.385000	60641	41.961539	-87.743574	73.824000	42.182	2	1.731
40550	Irving Park-O'Hare	2019	1	3691.900000	1906.000000	1458.600000	96.138000	60641	41.952925	-87.729229	73.824000	42.182	2	1.731
41240	Addison-O'Hare	2019	1	2564.400000	1029.500000	743.800000	64.253000	60618	41.947380	-87.719060	98.147000	41.355	2	9.481
40060	Belmont-O'Hare	2019	1	4121.400000	2048.300000	1601.800000	106.872000	60618	41.938132	-87.712359	98.147000	41.355	2	9.481
41020	Logan Square	2019	1	6618.000000	3461.300000	2533.000000	172.105000	60647	41.929728	-87.708541	98.769000	35.283	3	4.938
40570	California/Milwaukee	2019	1	4849.600000	2444.500000	1829.600000	125.618000	60647	41.921939	-87.696890	98.769000	35.283	3	4.938
40670	Western/Milwaukee	2019	1	4852.900000	2061.800000	1609.000000	123.055000	60647	41.916157	-87.687364	98.769000	35.283	3	4.938
40350	UIC-Halsted	2019	1	4945.400000	1423.000000	1102.000000	120.000000	60607	41.875474	-87.649707	15.552000	40.972	3	137.37
40470	Racine	2019	1	1924.300000	743.000000	605.600000	48.335000	60607	41.875920	-87.659458	15.552000	40.972	3	137.37
40250	Kedzie-Homan-Forest Park	2019	1	1572.000000	968.500000	836.200000	42.640000	60624	41.874341	-87.706040	45.647000	22.426	5	0.904
40920	Pulaski-Forest Park	2019	1	1580.400000	1223.000000	1045.000000	44.885000	60624	41.873797	-87.725663	45.647000	22.426	5	0.904
40970	Cicero-Forest Park	2019	1	1130.800000	729.800000	590.200000	30.747000	60644	41.871574	-87.745154	59.059000	26.93	13	0.749
40010	Austin-Forest Park	2019	1	1627.900000	628.500000	494.200000	40.799000	60644	41.870851	-87.776812	59.059000	26.93	13	0.749
40180	Oak Park-Forest Park	2019	1	1550.800000	465.500000	345.200000	37.706000	60644	41.872108	-87.791602	59.059000	26.93	13	0.749
40980	Harlem-Forest Park	2019	1	1070.100000	508.000000	351.400000	27.331000	60644	41.873490	-87.806961	59.059000	26.93	13	0.749
40390	Forest Park	2019	1	2784.600000	1161.300000	890.200000	70.357000	60644	41.874257	-87.817318	59.059000	26.93	13	0.749
41030	Polk	2019	1	2781.100000	556.800000	368.400000	65.254000	60607	41.871551	-87.669530	15.552000	40.972	3	137.37
40830	18th	2019	1	1440.800000	838.000000	545.000000	37.774000	60608	41.857908	-87.669147	92.472000	28.026	6	1.954
40210	Damen-Cermak	2019	1	1290.900000	660.300000	449.600000	33.289000	60608	41.854517	-87.675975	92.472000	28.026	6	1.954
40740	Western-Cermak	2019	1	923.600000	506.500000	357.200000	24.132000	60608	41.854225	-87.685129	92.472000	28.026	6	1.954
40440	California-Cermak	2019	1	1127.400000	595.800000	436.800000	29.369000	60608	41.854109	-87.694774	92.472000	28.026	6	1.954
41040	Kedzie-Cermak	2019	1	844.200000	475.800000	360.000000	22.275000	60623	41.853964	-87.705408	108.144000	28.203	5	0.682
