Zip Code,Location,City,Avg. Income/H/hold
60606,"41.881988, -87.637329","Chicago, Illinois",100377
60601,"41.885805, -87.622911","Chicago, Illinois",77374
60611,"41.893024, -87.618998","Chicago, Illinois",69889
60614,"41.922667, -87.652537","Chicago, Illinois",68324
60603,"41.880614, -87.629311","Chicago, Illinois",61815
60655,"41.694722, -87.703687","Chicago, Illinois",59849
60646,"41.992931, -87.760278","Chicago, Illinois",58232
60605,"41.857651, -87.615592","Chicago, Illinois",56151
60657,"41.938964, -87.656811","Chicago, Illinois",55647
60631,"41.994948, -87.813225","Chicago, Illinois",55316
60661,"41.882458, -87.643946","Chicago, Illinois",54698
60652,"41.746234, -87.711953","Chicago, Illinois",53120
60643,"41.696894, -87.661375","Chicago, Illinois",51305
60610,"41.900034, -87.636967","Chicago, Illinois",51294
60634,"41.946189, -87.806117","Chicago, Illinois",50042
60613,"41.958302, -87.660698","Chicago, Illinois",48381
60630,"41.972071, -87.756569","Chicago, Illinois",47905
60656,"41.973544, -87.830234","Chicago, Illinois",47512
60638,"41.783650, -87.770407","Chicago, Illinois",45173
60659,"41.991923, -87.704608","Chicago, Illinois",45064
60641,"41.946466, -87.746971","Chicago, Illinois",42182
60645,"42.008406, -87.695793","Chicago, Illinois",41438
60618,"41.946755, -87.702861","Chicago, Illinois",41355
60607,"41.874503, -87.651322","Chicago, Illinois",40972
60633,"41.661941, -87.557757","Chicago, Illinois",40792
60629,"41.774690, -87.714185","Chicago, Illinois",40279
60639,"41.920639, -87.755793","Chicago, Illinois",40165
60625,"41.973081, -87.699751","Chicago, Illinois",40083
60622,"41.901894, -87.672630","Chicago, Illinois",38487
60628,"41.692200, -87.617859","Chicago, Illinois",38210
60632,"41.810213, -87.711761","Chicago, Illinois",37406
60620,"41.740481, -87.653749","Chicago, Illinois",36334
60617,"41.718172, -87.555846","Chicago, Illinois",35534
60647,"41.921117, -87.701899","Chicago, Illinois",35283
60660,"41.990561, -87.664706","Chicago, Illinois",34293
60619,"41.743383, -87.605811","Chicago, Illinois",33631
60651,"41.902029, -87.740432","Chicago, Illinois",32622
60640,"41.972347, -87.663982","Chicago, Illinois",32466
60615,"41.801502, -87.603332","Chicago, Illinois",31571
60626,"42.009340, -87.669902","Chicago, Illinois",31318
60604,"41.878266, -87.626150","Chicago, Illinois",31250
60616,"41.844977, -87.629846","Chicago, Illinois",30625
60623,"41.847079, -87.719446","Chicago, Illinois",28203
60608,"41.848647, -87.672320","Chicago, Illinois",28026
60636,"41.775708, -87.669011","Chicago, Illinois",27727
60649,"41.763484, -87.570411","Chicago, Illinois",27699
60644,"41.880614, -87.756903","Chicago, Illinois",26930
60609,"41.812680, -87.656935","Chicago, Illinois",25705
60612,"41.880500, -87.687967","Chicago, Illinois",25143
60602,"41.883067, -87.629187","Chicago, Illinois",23750
60637,"41.780673, -87.603500","Chicago, Illinois",23228
60624,"41.880048, -87.722352","Chicago, Illinois",22426
60621,"41.776404, -87.640058","Chicago, Illinois",19718
60653,"41.819722, -87.611809","Chicago, Illinois",14205
60654,"41.888109, -87.636652","Chicago, Illinois",165178
   ,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
