,trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location,:@computed_region_vrxf_vc4k,company
0,cae583abaab4e195a8d1ebb6541ed505432fc0eb,614b188e189f06b9442de59922706ed61d76f08b3e86a15a936f4af32f3e66f2ebe92e75c567b185bf5f862f2d9233912d05961ef48e0aad2c7e12245d8d5522,2014-04-25T16:30:00.000,2014-04-25T16:45:00.000,840,2.3,17031842200,17031839000,8,32,9.65,0.00,0.00,0.00,9.65,Cash,41.904935302,-87.649907226,"{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}",41.87101588,-87.631406525,"{'type': 'Point', 'coordinates': [-87.6314065252, 41.8710158803]}",37,
1,72b5159018505d903aca13cfdd1552182814ab11,8063b041e0d6272293d52b8d81343464e62e7fa3a9e90042ce1535d598472c78f74c12fd6ecfeeb8b688544b53d2c9cb0b79d5511382c2006d10c081d2751ad4,2014-11-15T09:00:00.000,2014-11-15T09:00:00.000,180,0.4,17031081202,17031081201,8,8,4.45,0.00,0.00,0.00,4.45,Cash,41.902788048,-87.62614559,"{'type': 'Point', 'coordinates': [-87.6261455896, 41.9027880476]}",41.899155613,-87.626210532,"{'type': 'Point', 'coordinates': [-87.6262105324, 41.8991556134]}",37,
2,245afe32bc005cfdcc61086ab8b73a56f32266ea,687e4d96be3cc961be4ce4608d2ad3bfadf54e3bbe80d706e066fd268dea4bce387cfa66ad249143808d0fed4ac39b01ea5e1d00faca6f07496eabd519ad812f,2014-12-15T11:45:00.000,2014-12-15T11:45:00.000,240,3.6,17031081403,17031081402,8,8,10.05,0.00,0.00,0.00,10.05,Cash,41.890922026,-87.618868355,"{'type': 'Point', 'coordinates': [-87.6188683546, 41.8909220259]}",41.891971508,-87.612945414,"{'type': 'Point', 'coordinates': [-87.6129454143, 41.8919715078]}",37,
3,39017c37aefcacaed340f5a6c22402ae188aeb53,de20c9b4392f38e5aa9dffbcfc87476ee92fa2d00547a28c7510ae22c075ae38e7109f01a48e543d4ead7a7755ca28851027c7df2e05cf9a6fc8bfb88cfc3796,2014-10-15T12:00:00.000,2014-10-15T12:45:00.000,2340,17.5,17031980000,17031081700,76,8,36.85,0.00,0.00,3.00,39.85,Cash,41.97907082,-87.903039661,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}",41.892042136,-87.63186395,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",75,
4,397cf637a2c40c64e5d438fbf6157c9fa837087e,036b8cc6d5f37747d91884dfb7fa3220836b8e556c83595522d4deb0f3354b41ffda98963d894ba5dff34c863e88986c746ea3b1838d072302c985e2b69e2807,2014-12-05T02:15:00.000,2014-12-05T02:30:00.000,480,2.56,,,8,6,8.45,0.00,0.00,1.00,9.45,Cash,41.899602111,-87.633308037,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",41.944226601,-87.655998182,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",37,
5,de8010b570648b63cae777e7c90799a9c61fb9a6,9b12d6ffb96c08ec1e773c2959464db5618f737873cf0e991df730edc672fb756483289ea9fea619bd2e05eaa1c301b8e30c73a32194db885c4eb7b7e9f51a9e,2014-10-10T19:45:00.000,2014-10-10T19:45:00.000,660,1.6,17031842300,17031842200,24,8,7.45,0.00,0.00,1.50,8.95,Cash,41.89830587,-87.653613982,"{'type': 'Point', 'coordinates': [-87.6536139825, 41.8983058696]}",41.904935302,-87.649907226,"{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}",25,
6,6328b69d672aa9968ffcc0e4961cb20c35f436fc,386acefbff35617d4b38bba92265459e932fd026b126106f6b36fdcf8b47aa7e06ac92451d6f95ce4f3b78fc680cd2b713fe62f25ea79eab7f3d82eeacfaf961,2014-06-28T18:45:00.000,2014-06-28T19:00:00.000,720,3.1,17031081500,17031841000,8,33,9.85,0.00,0.00,0.00,9.85,Cash,41.892507781,-87.626214906,"{'type': 'Point', 'coordinates': [-87.6262149064, 41.8925077809]}",41.849246754,-87.624135298,"{'type': 'Point', 'coordinates': [-87.6241352979, 41.84924675450001]}",37,
7,4b70b755b95b7a8c0520d86bf5f08ce00533c69a,485299324a5421f5327c141bd42091be7007124453d3f42e762fcce60576391540fe510f6fd8cfded241f629f77e95629242dc86df3ff7883b7dc47462c54894,2014-10-17T17:45:00.000,2014-10-17T17:45:00.000,240,0.7,17031839100,17031839000,32,32,4.84,0.00,0.00,0.00,4.84,Cash,41.880994471,-87.632746489,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}",41.87101588,-87.631406525,"{'type': 'Point', 'coordinates': [-87.6314065252, 41.8710158803]}",38,
8,a52eb0add263d7b529b49e676715b37d3cf2f945,58860ab522ffd8f9dc49b8fd0346b5d3ca41de4e9ee9141db4bd3706615dbe8cd052e3fe852773be9af147f257e64d0c7ff01e5838c53c5330c3f01770d2c8f3,2014-10-02T10:45:00.000,2014-10-02T11:00:00.000,420,1.1,17031839100,17031281900,32,28,6.25,0.00,0.00,0.00,6.25,Cash,41.880994471,-87.632746489,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}",41.879255084,-87.642648998,"{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}",38,
9,3d088db79b75a2cc370820abd5d13e0455226e15,6bc86d0773a8bde9059c6432ee858c700969dff8842219c26fcf5d1c98c52edd34de471f889da080e175f997d6a2529f82bedae6b882840c2ba619945d26b905,2014-12-23T14:15:00.000,2014-12-23T14:15:00.000,420,1.5,17031839100,17031081800,32,8,6.45,0.00,0.00,0.00,6.45,Cash,41.880994471,-87.632746489,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}",41.89321636,-87.63784421,"{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}",38,
10,57a49b4164650e7a7783d9171f0cd4dec0b4ae9f,0cbf5c0f6aca3628d77c7b6fe89715757ed402a70b0f8b546f175f2f0f8b051cbf2586f93f658f5b91675cbcec559ff886c7b477bf25fbc1f32c4e252f3f3435,2014-06-28T23:30:00.000,2014-06-28T23:30:00.000,240,0.9,17031070400,17031063000,7,6,5.05,0.00,0.00,0.00,5.05,Cash,41.928967266,-87.656156831,"{'type': 'Point', 'coordinates': [-87.6561568309, 41.9289672664]}",41.936310131,-87.651562592,"{'type': 'Point', 'coordinates': [-87.6515625922, 41.9363101308]}",68,
