,zipcode,station_count,month_total (thousands),population (thousands),income (thousand),taxi_records (thousands),transportation_index,neighborhood_index
0,60601,1,3780.031,11.11,77.374,3507.376,97,77
1,60607,3,3220.92,23.897,40.972,1752.637,90,75
2,60608,6,3150.574,82.739,28.026,65.208,85,75
3,60609,1,1089.224,64.906,25.705,7.649,81,72
4,60610,4,10108.464,37.726,51.294,5070.517,100,84
5,60613,5,6012.424,48.281,48.381,208.486,100,78
6,60614,3,6743.811,66.617,68.324,638.472,93,77
7,60615,2,611.304,40.603,31.571,112.733,86,73
8,60616,5,4658.977,48.433,30.625,109.804,84,77
9,60618,2,2332.148,92.084,41.355,234.558,91,75
10,60619,3,5981.416,63.825,33.631,18.988,82,68
11,60621,4,3461.595,35.912,19.718,7.994,94,76
12,60623,5,1508.752,92.108,28.203,20.208,88,75
13,60624,5,2303.381,38.105,22.426,18.416,85,73
14,60625,5,4102.792,78.651,40.083,135.87,93,75
15,60626,9,5988.336,50.139,31.318,73.314,94,73
16,60629,1,2477.34,113.916,40.279,8.62,84,69
17,60630,1,1896.402,54.093,47.905,30.2,84,75
18,60631,1,844.876,28.641,55.316,33.158,70,68
19,60632,2,2475.183,91.326,37.406,9.952,83,70
20,60636,1,301.89,40.916,27.727,4.367,90,70
21,60637,2,442,49.503,23.228,28.778,85,69
22,60641,2,2051.396,71.663,42.182,35.379,88,72
23,60644,13,7152.649,48.648,26.93,17.483,89,73
24,60645,2,539.885,45.274,41.438,77.647,87,71
25,60646,2,832.293,27.177,58.232,13.741,75,68
26,60647,3,5613.604,87.291,35.283,161.564,92,78
27,60653,4,1702.217,29.908,14.205,33.44,84,73
28,60656,3,7019.25,27.613,47.512,581.598,73,67
29,60657,6,10827.269,65.996,55.647,633.672,96,80
30,60660,4,5185.476,42.752,34.293,154.798,97,77
