,pickup_community_area
8.0,16513
32.0,9209
28.0,4652
76.0,4447
6.0,2566
7.0,1621
56.0,1246
24.0,974
3.0,854
33.0,675
77.0,515
22.0,404
1.0,357
2.0,295
4.0,232
16.0,219
41.0,191
14.0,183
21.0,152
11.0,137
5.0,135
35.0,123
15.0,118
10.0,80
23.0,67
39.0,65
25.0,53
13.0,50
43.0,47
19.0,47
38.0,46
34.0,43
31.0,42
59.0,36
42.0,32
20.0,27
69.0,27
44.0,26
17.0,24
71.0,23
36.0,21
60.0,20
12.0,18
49.0,18
29.0,18
40.0,16
68.0,16
67.0,16
46.0,15
61.0,15
27.0,14
48.0,12
30.0,12
58.0,12
53.0,11
18.0,11
75.0,10
73.0,10
45.0,9
63.0,8
26.0,8
66.0,7
64.0,7
9.0,5
72.0,5
57.0,5
62.0,5
37.0,5
70.0,5
47.0,5
50.0,4
54.0,4
51.0,3
65.0,2
55.0,2
52.0,1
74.0,1
