Rank,Zip Code,Population
1,11368,"112,425"
2,11385,"106,717"
3,10467,"103,732"
4,11211,"102,624"
5,11236,"100,331"
6,11226,"100,277"
7,11208,"98,660"
8,11234,"95,666"
9,11220,"95,643"
10,10456,"94,218"
11,11373,"93,967"
12,11214,"92,946"
13,10025,"92,805"
14,11207,"91,972"
15,10314,"90,761"
16,11219,"90,036"
17,11230,"89,075"
18,11206,"88,349"
19,11377,"86,421"
20,10458,"83,960"
21,11221,"83,835"
22,11229,"83,615"
23,11223,"81,789"
24,11355,"80,853"
25,10453,"79,606"
26,10029,"79,597"
27,10468,"78,647"
28,11235,"78,128"
29,11204,"76,978"
30,11233,"76,819"
31,10462,"76,756"
32,11212,"76,527"
33,10452,"76,078"
34,11203,"75,451"
35,10002,"74,993"
36,10457,"74,554"
37,11218,"74,508"
38,10469,"73,870"
39,11375,"73,488"
40,10466,"72,479"
41,10463,"71,360"
42,11215,"70,156"
43,10472,"68,796"
44,11706,"68,773"
45,11746,"68,491"
46,11209,"67,809"
47,11691,"67,094"
48,11210,"67,040"
49,11213,"66,295"
50,11434,"65,791"
51,10977,"64,882"
52,10027,"64,548"
53,14850,"64,484"
54,10032,"64,264"
55,11717,"63,054"
56,11201,"62,823"
57,10023,"62,435"
58,11432,"62,053"
59,11372,"61,844"
60,10312,"61,741"
61,10031,"60,254"
62,10473,"59,609"
63,10033,"59,607"
64,10460,"59,505"
65,10701,"59,312"
66,11435,"59,296"
67,10128,"59,256"
68,10024,"59,001"
69,11225,"58,882"
70,10009,"57,925"
71,11550,"57,652"
72,11216,"56,308"
73,11354,"55,200"
74,12550,"54,988"
75,10003,"54,682"
76,11238,"54,540"
77,14221,"54,081"
78,12180,"53,437"
79,11758,"53,424"
80,10306,"53,142"
81,14580,"52,587"
82,10016,"51,057"
83,10950,"50,895"
84,10011,"50,472"
85,10461,"50,348"
86,11419,"49,618"
87,11237,"49,310"
88,14094,"49,170"
89,10940,"49,068"
90,11420,"48,489"
91,10459,"48,351"
92,10451,"47,798"
93,10028,"47,793"
94,11224,"46,707"
95,11590,"46,560"
96,10021,"46,215"
97,11205,"46,064"
98,11772,"45,964"
99,11003,"45,263"
100,11228,"44,994"
101,11365,"44,983"
102,10040,"44,571"
103,14120,"44,437"
104,10465,"44,205"
105,11757,"44,115"
106,11580,"43,714"
107,10019,"43,703"
108,11520,"43,408"
109,13760,"43,350"
110,10475,"43,208"
111,11756,"43,099"
112,10034,"42,910"
113,12065,"42,868"
114,11374,"42,653"
115,12603,"42,589"
116,14075,"42,471"
117,11413,"42,443"
118,10305,"42,298"
119,10455,"42,283"
120,14609,"42,042"
121,11743,"41,938"
122,11040,"41,877"
123,10952,"41,834"
124,11367,"41,824"
125,10801,"41,759"
126,12601,"41,539"
127,11217,"41,407"
128,13440,"41,243"
129,10304,"41,064"
130,14450,"41,035"
131,11421,"41,002"
132,14150,"40,825"
133,10705,"40,733"
134,14224,"40,590"
135,11801,"40,340"
136,11704,"40,285"
137,10583,"40,013"
138,14215,"39,962"
139,11357,"39,902"
140,14701,"39,731"
141,10026,"39,363"
142,12866,"39,178"
143,10573,"38,861"
144,10301,"38,733"
145,11418,"38,517"
146,11106,"38,363"
147,10454,"38,203"
148,13021,"38,114"
149,11779,"38,063"
150,11379,"37,851"
151,11231,"37,845"
152,10550,"37,817"
153,11561,"37,662"
