Rank,Zip_Code,Population,lat_long
1,11368,"112,425","40.749407, -73.852780"
2,11385,"106,717","40.700671, -73.889433"
3,10467,"103,732","40.877420, -73.872597"
4,11211,"102,624","40.713507, -73.952578"
5,11236,"100,331","40.639761, -73.900640"
6,11226,"100,277","40.646430, -73.956866"
7,11208,"98,660","40.669598, -73.871270"
8,11234,"95,666","40.612540, -73.894255"
9,11220,"95,643","40.641307, -74.016251"
10,10456,"94,218","40.830877, -73.907954"
11,11373,"93,967","40.737347, -73.878716"
12,11214,"92,946","40.598668, -73.996212"
13,10025,"92,805","40.797958, -73.964917"
14,11207,"91,972","40.670361, -73.893848"
15,10314,"90,761","40.598825, -74.163336"
16,11219,"90,036","40.632769, -73.996642"
17,11230,"89,075","40.622104, -73.965118"
18,11206,"88,349","40.702037, -73.942444"
19,11377,"86,421","40.744813, -73.905122"
20,10458,"83,960","40.862831, -73.886395"
21,11221,"83,835","40.691310, -73.927772"
22,11229,"83,615","40.601293, -73.944493"
23,11223,"81,789","40.597427, -73.973039"
24,11355,"80,853","40.750123, -73.820977"
25,10453,"79,606","40.852779, -73.912332"
26,10029,"79,597","40.792245, -73.945230"
27,10468,"78,647","40.868093, -73.899730"
28,11235,"78,128","40.583552, -73.947900"
29,11204,"76,978","40.618675, -73.984893"
30,11233,"76,819","40.678089, -73.919867"
31,10462,"76,756","40.842823, -73.858861"
32,11212,"76,527","40.662907, -73.912969"
33,10452,"76,078","40.837763, -73.923314"
34,11203,"75,451","40.649411, -73.934397"
35,10002,"74,993","40.715952, -73.985870"
36,10457,"74,554","40.846687, -73.898374"
37,11218,"74,508","40.643783, -73.975954"
38,10469,"73,870","40.867849, -73.845140"
39,11375,"73,488","40.722975, -73.843179"
40,10466,"72,479","40.891039, -73.847226"
41,10463,"71,360","40.880678, -73.906540"
42,11215,"70,156","40.662688, -73.986740"
43,10472,"68,796","40.829650, -73.869368"
44,11706,"68,773","40.720471, -73.259399"
45,11746,"68,491","40.814268, -73.362276"
46,11209,"67,809","40.622352, -74.030431"
47,11691,"67,094","40.600774, -73.757824"
48,11210,"67,040","40.628049, -73.946278"
49,11213,"66,295","40.671034, -73.936357"
50,11434,"65,791","40.676808, -73.776425"
51,10977,"64,882","41.118920, -74.048158"
52,10027,"64,548","40.811407, -73.953564"
53,14850,"64,484","42.431831, -76.500228"
54,10032,"64,264","40.839194, -73.942591"
55,11717,"63,054","40.783955, -73.252256"
56,11201,"62,823","40.693682, -73.989693"
57,10023,"62,435","40.775394, -73.982197"
58,11432,"62,053","40.715220, -73.793188"
59,11372,"61,844","40.751706, -73.883561"
60,10312,"61,741","40.547291, -74.179264"
61,10031,"60,254","40.825857, -73.949451"
62,10473,"59,609","40.817685, -73.858576"
63,10033,"59,607","40.849124, -73.935956"
64,10460,"59,505","40.842724, -73.879745"
65,10701,"59,312","40.945250, -73.881145"
66,11435,"59,296","40.701408, -73.809817"
67,10128,"59,256","40.781656, -73.950281"
68,10024,"59,001","40.786307, -73.970694"
69,11225,"58,882","40.662236, -73.958951"
70,10009,"57,925","40.726622, -73.978955"
71,11550,"57,652","40.702731, -73.623226"
72,11216,"56,308","40.680854, -73.949144"
73,11354,"55,200","40.768208, -73.827403"
74,12550,"54,988","41.539574, -74.057223"
75,10003,"54,682","40.731856, -73.989145"
76,11238,"54,540","40.678424, -73.963874"
77,14221,"54,081","42.984522, -78.722871"
78,12180,"53,437","42.748588, -73.599536"
79,11758,"53,424","40.662298, -73.458413"
80,10306,"53,142","40.569755, -74.122141"
81,14580,"52,587","43.217283, -77.444534"
82,10016,"51,057","40.744983, -73.978262"
83,10950,"50,895","41.317294, -74.197530"
84,10011,"50,472","40.741844, -74.000711"
85,10461,"50,348","40.847409, -73.841403"
86,11419,"49,618","40.688685, -73.822882"
87,11237,"49,310","40.704160, -73.921139"
88,14094,"49,170","43.157693, -78.702073"
89,10940,"49,068","41.446544, -74.478741"
90,11420,"48,489","40.673525, -73.817771"
91,10459,"48,351","40.825558, -73.893156"
92,10451,"47,798","40.822092, -73.922612"
93,10028,"47,793","40.776865, -73.954721"
94,11224,"46,707","40.577257, -73.989762"
95,11590,"46,560","40.756284, -73.570247"
96,10021,"46,215","40.769742, -73.961653"
97,11205,"46,064","40.696771, -73.967061"
98,11772,"45,964","40.771471, -72.995182"
99,11003,"45,263","40.699176, -73.706166"
100,11228,"44,994","40.616863, -74.013196"
101,11365,"44,983","40.738856, -73.792528"
102,10040,"44,571","40.858134, -73.929031"
103,14120,"44,437","43.079317, -78.842654"
104,10465,"44,205","40.826285, -73.822762"
105,11757,"44,115","40.689587, -73.373856"
106,11580,"43,714","40.674900, -73.702154"
107,10019,"43,703","40.766331, -73.985013"
108,11520,"43,408","40.650851, -73.584575"
109,13760,"43,350","42.133387, -76.084713"
110,10475,"43,208","40.875266, -73.826037"
111,11756,"43,099","40.724567, -73.516333"
112,10034,"42,910","40.869208, -73.921929"
113,12065,"42,868","42.854836, -73.787492"
114,11374,"42,653","40.726219, -73.861264"
115,12603,"42,589","41.675868, -73.864484"
116,14075,"42,471","42.713252, -78.833315"
117,11413,"42,443","40.669293, -73.750553"
118,10305,"42,298","40.596691, -74.074866"
119,10455,"42,283","40.814678, -73.908333"
120,14609,"42,042","43.177093, -77.554873"
121,11743,"41,938","40.878517, -73.426767"
122,11040,"41,877","40.744765, -73.680072"
123,10952,"41,834","41.116210, -74.078881"
124,11367,"41,824","40.730621, -73.822860"
125,10801,"41,759","40.917570, -73.784858"
126,12601,"41,539","41.708174, -73.910203"
127,11217,"41,407","40.682306, -73.978099"
128,13440,"41,243","43.217344, -75.459735"
129,10304,"41,064","40.603589, -74.102477"
130,14450,"41,035","43.088447, -77.415761"
131,11421,"41,002","40.693633, -73.858513"
132,14150,"40,825","42.997524, -78.878511"
133,10705,"40,733","40.919705, -73.889928"
134,14224,"40,590","42.837826, -78.747935"
135,11801,"40,340","40.762304, -73.524452"
136,11704,"40,285","40.717504, -73.358203"
137,10583,"40,013","40.988682, -73.789204"
138,14215,"39,962","42.934353, -78.809741"
139,11357,"39,902","40.786415, -73.810924"
140,14701,"39,731","42.081025, -79.253512"
141,10026,"39,363","40.802320, -73.952943"
142,12866,"39,178","43.092690, -73.735445"
143,10573,"38,861","41.018087, -73.679179"
144,10301,"38,733","40.627456, -74.094407"
145,11418,"38,517","40.700101, -73.835908"
146,11106,"38,363","40.762211, -73.931528"
147,10454,"38,203","40.805528, -73.916632"
148,13021,"38,114","42.922181, -76.561464"
149,11779,"38,063","40.812431, -73.116108"
150,11379,"37,851","40.715488, -73.879490"
151,11231,"37,845","40.677916, -74.005154"
152,10550,"37,817","40.905448, -73.835253"
153,11561,"37,662","40.589061, -73.651049"
154,13501,"37,646","43.081159, -75.225020"
155,13601,"37,624","43.976818, -75.914247"
156,11412,"37,458","40.696878, -73.760260"
157,11105,"37,382","40.778997, -73.906847"
158,11554,"37,358","40.720115, -73.558861"
159,11378,"37,279","40.724744, -73.909639"
160,11358,"37,190","40.760467, -73.796418"
161,11364,"36,806","40.745620, -73.757537"
162,11222,"36,492","40.728367, -73.945427"
163,11433,"36,489","40.698135, -73.787009"
164,13126,"36,335","43.438798, -76.457454"
165,11103,"36,140","40.762634, -73.913156"
166,14624,"35,885","43.128271, -77.731354"
167,10035,"35,743","40.795487, -73.929501"
168,12401,"35,339","41.938565, -74.056809"
169,12590,"34,711","41.592556, -73.886853"
170,14612,"34,259","43.266330, -77.676706"
171,11710,"34,237","40.675775, -73.535668"
172,11369,"34,118","40.763513, -73.871961"
173,11787,"34,099","40.852924, -73.211260"
174,10010,"33,730","40.739122, -73.982363"
175,10309,"33,531","40.530847, -74.221178"
176,11510,"33,484","40.653614, -73.609056"
177,12020,"33,456","43.001948, -73.868841"
178,11735,"33,454","40.734243, -73.428600"
179,11566,"33,401","40.651637, -73.551927"
180,14225,"33,328","42.928824, -78.752459"
181,14621,"33,264","43.186402, -77.601255"
182,13027,"32,949","43.173534, -76.365491"
183,12901,"32,846","44.704021, -73.471148"
184,14086,"32,671","42.905511, -78.629121"
185,13502,"32,542","43.141264, -75.154707"
186,11722,"32,524","40.785083, -73.192931"
187,11370,"32,514","40.765370, -73.893132"
188,10704,"32,223","40.919729, -73.862651"
