Zip Code,Location,City,Avg. Income/H/hold,,,
10007,"40.713973, -74.008336","New York, New York",112947,,,
10280,"40.708501, -74.016828","New York, New York",108536,,,
10162,"40.769298, -73.949942","New York, New York",108416,,,
10004,"40.691870, -74.014109","New York, New York",101868,,,
10069,"40.775551, -73.989689","New York, New York",88091,,,
10282,"40.717017, -74.015566","New York, New York",86066,,,
10006,"40.707970, -74.013610","New York, New York",81334,,,
10022,"40.758615, -73.967752","New York, New York",80406,,,
10005,"40.705390, -74.008988","New York, New York",79517,,,
10024,"40.786307, -73.970694","New York, New York",78066,,,
10028,"40.776865, -73.954721","New York, New York",77565,,,
10021,"40.769742, -73.961653","New York, New York",75472,,,
10023,"40.775394, -73.982197","New York, New York",72424,,,
10128,"40.781656, -73.950281","New York, New York",70031,,,
10017,"40.752292, -73.972393","New York, New York",69273,,,
10014,"40.733471, -74.007098","New York, New York",66601,,,
10016,"40.744983, -73.978262","New York, New York",66342,,,
10010,"40.739122, -73.982363","New York, New York",62467,,,
10011,"40.741844, -74.000711","New York, New York",61986,,,
10003,"40.731856, -73.989145","New York, New York",60891,,,
10012,"40.725639, -73.998090","New York, New York",58313,,,
10019,"40.766331, -73.985013","New York, New York",55869,,,
10044,"40.762050, -73.949933","New York, New York",49976,,,
10025,"40.797958, -73.964917","New York, New York",49733,,,
10018,"40.754969, -73.992126","New York, New York",48705,,,
10036,"40.759614, -73.991148","New York, New York",41002,,,
10001,"40.750722, -73.997276","New York, New York",40932,,,
10009,"40.726622, -73.978955","New York, New York",40176,,,
10013,"40.720067, -74.004829","New York, New York",38304,,,
10033,"40.849124, -73.935956","New York, New York",31348,,,
10038,"40.709336, -74.002943","New York, New York",31316,,,
10034,"40.869208, -73.921929","New York, New York",29479,,,
10040,"40.858134, -73.929031","New York, New York",27905,,,
10037,"40.813159, -73.937352","New York, New York",26561,,,
10032,"40.839194, -73.942591","New York, New York",26237,,,
10031,"40.825857, -73.949451","New York, New York",24285,,,
10002,"40.715952, -73.985870","New York, New York",24022,,,
10027,"40.811407, -73.953564","New York, New York",23150,,,
10026,"40.802320, -73.952943","New York, New York",22491,,,
10029,"40.792245, -73.945230","New York, New York",22232,,,
10030,"40.818492, -73.943283","New York, New York",17970,,,
10039,"40.826296, -73.937053","New York, New York",17370,,,
10035,"40.795487, -73.929501","New York, New York",14896,,,
10177,"40.755139, -73.975934","New York, New York",175417,,,
10271,"40.708236, -74.010541","New York, New York",683269,,,
10278,"40.715282, -74.004078","New York, New York",113881,,,
10279,"40.712626, -74.008669","New York, New York",205192,,,
10020,"40.758236, -73.978833","New York, New York",383967,,,
10041,"40.702868, -74.009835","New York, New York",120045,,,
10048,"40.711665, -74.012417","New York, New York",0,This is the world trade center.,,
10103,"40.760780, -73.977670","New York, New York",138776,,,
10111,"40.759114, -73.977596","New York, New York",891336,,,
10112,"40.759167, -73.979668","New York, New York",1920137,,,
10115,"40.810852, -73.963744","New York, New York",17200,,,
10119,"40.750310, -73.992979","New York, New York",775718,,,
10152,"40.758404, -73.972031","New York, New York",13892189,,,
10153,"40.763622, -73.972439","New York, New York",9925825,,,
10154,"40.757779, -73.972487","New York, New York",188250,,,
10167,"40.754648, -73.974771","New York, New York",263149,,,
10169,"40.754391, -73.976098","New York, New York",1167708,,,
10170,"40.752625, -73.975877","New York, New York",122802,,,
10171,"40.755899, -73.973858","New York, New York",1748035,,,
10172,"40.755273, -73.974315","New York, New York",194926,,,
10173,"40.754131, -73.979364","New York, New York",108956,,,
10464,"40.867099, -73.797609","Bronx, New York",57458,,,
10471,"40.898117, -73.900227","Bronx, New York",56488,,,
10465,"40.826285, -73.822762","Bronx, New York",45650,,,
10469,"40.867849, -73.845140","Bronx, New York",42102,,,
10475,"40.875266, -73.826037","Bronx, New York",40528,,,
10463,"40.880678, -73.906540","Bronx, New York",40497,,,
10461,"40.847409, -73.841403","Bronx, New York",40024,,,
10470,"40.900965, -73.863998","Bronx, New York",38464,,,
10466,"40.891039, -73.847226","Bronx, New York",37141,,,
10462,"40.842823, -73.858861","Bronx, New York",33735,,,
10467,"40.877420, -73.872597","Bronx, New York",29044,,,
10473,"40.817685, -73.858576","Bronx, New York",27733,,,
10468,"40.868093, -73.899730","Bronx, New York",26852,,,
10472,"40.829650, -73.869368","Bronx, New York",23565,,,
10458,"40.862831, -73.886395","Bronx, New York",22072,,,
10453,"40.852779, -73.912332","Bronx, New York",21109,,,
10452,"40.837763, -73.923314","Bronx, New York",20606,,,
10451,"40.822092, -73.922612","Bronx, New York",20307,,,
10460,"40.842724, -73.879745","Bronx, New York",19517,,,
10455,"40.814678, -73.908333","Bronx, New York",19389,,,
10457,"40.846687, -73.898374","Bronx, New York",19233,,,
10459,"40.825558, -73.893156","Bronx, New York",17498,,,
10456,"40.830877, -73.907954","Bronx, New York",16664,,,
10474,"40.810203, -73.884437","Bronx, New York",16339,,,
10454,"40.805528, -73.916632","Bronx, New York",14271,,,
11201,"40.693682, -73.989693","Brooklyn, New York",56293,,,
11215,"40.662688, -73.986740","Brooklyn, New York",53313,,,
11234,"40.612540, -73.894255","Brooklyn, New York",51446,,,
11217,"40.682306, -73.978099","Brooklyn, New York",49567,,,
