location	entries	exits	latitude	longitude
57 st	18678978	7914778	40.763972	-73.97745
49 st	14711056	51602869	40.759901	-73.984139
times sq	1891912148	1428231752	40.754672	-73.986754
34 st	1569385972	2048328225	40.749567	-73.98795
28 st	1174469693	1392586199	40.745494	-73.988691
23 st	1999393758	1931601154	40.741303	-73.989344
14 st	2129395010	1510951844	40.740893	-74.00169
prince st	13762568	11935891	40.724329	-73.997702
canal st	1724104082	2031015948	40.719527	-74.001775
city hall	184961898	17221585	40.713282	-74.006978
cortlandt st	1058666368	871591744	40.710668	-74.011029
rector st	117702874	16842573	40.70722	-74.013342
bowery	2097879	2781867	40.72028	-73.993915
chambers st	2115808316	1800036478	40.713243	-74.003401
fulton st	1662268204	1762910775	40.710374	-74.007582
broad st	6284484	5524629	40.706476	-74.011056
7 av	1835263792	773055087	40.67705	-73.972367
botanic garden	5301956	1925335	40.670343	-73.959245
prospect park	1568681272	1568637660	40.661614	-73.962246
parkside av	5028387	7883511	40.655292	-73.961495
church av	856064114	1577574888	40.650527	-73.962982
cortelyou rd	5669818	2539606	40.640927	-73.963891
newkirk plaza	17021366	16930280	40.635082	-73.962793
avenue h	117440637	678849	40.62927	-73.961639
avenue j	9294369	9281807	40.625039	-73.960803
avenue m	100662803	1499245	40.617618	-73.959399
kings hwy	755669727	763625291	40.60867	-73.957734
avenue u	134311288	16777280	40.5993	-73.955929
neck rd	100662774	16888529	40.595246	-73.955161
sheepshead bay	13021473	18316357	40.586896	-73.954155
brighton beach	15257876	13279065	40.577621	-73.961376
ocean pkwy	5898550	5897473	40.576312	-73.968501
borough hall	101101643	14569598	40.693219	-73.989998
dekalb av	1927298981	1141463566	40.690635	-73.981824
atl av	654312802	134263112	40.683666	-73.97881
union st	10675867	12518278	40.677316	-73.98311
prospect av	12864469	12844641	40.665414	-73.992872
25 st	10395402	7584147	40.660397	-73.998091
36 st	101012849	7032153	40.655144	-74.003549
45 st	3626707	7106680	40.648939	-74.010006
53 st	100714254	134004392	40.645069	-74.014034
bay ridge av	7948315	4780917	40.634967	-74.023377
77 st	140356069	24605938	40.629742	-74.02551
86 st	972830677	1876128843	40.622687	-74.028398
8 av	56879066	19830502	40.635064	-74.011719
new utrecht av	2468271	2703260	40.624842	-73.996353
18 av	1675034621	806879315	40.607954	-74.001736
20 av	6794679	6793634	40.604556	-73.998168
bay pkwy	775445870	1698352450	40.601875	-73.993728
9 av	11073074	11013100	40.646292	-73.994324
50 st	13584490	26506250	40.63626	-73.994791
55 st	4741275	5034949	40.631435	-73.995476
71 st	8415824	7963949	40.619589	-73.998864
79 st	66918144	117157464	40.613501	-74.00061
25 av	2939516	3049851	40.597704	-73.986829
bay 50 st	6668202	7419737	40.588841	-73.983765
6 av	1209768713	1200575535	40.737335	-73.996786
3 av	1942935361	1476828980	40.732849	-73.986122
1 av	955239544	998698713	40.730953	-73.981628
bedford av	24442228	29953365	40.717304	-73.956872
lorimer st	8779713	1953174	40.703869	-73.947408
graham av	14073238	11239889	40.714565	-73.944053
