	zipcode	station_count	subway_total (billion)	population (thousand)	avg_household_income (thousand)	taxi_total (million)
0	10002	12	1.423334899	74.993	24.022	1.19642
1	10003	6	34.561593397	54.681999999999995	60.891000000000005	2.937984
2	10005	11	8.68238624	8.831	79.517	0.994406
3	10006	13	56.401654602	3.4539999999999993	81.334	0.446942
4	10009	5	23.601644496	57.925	40.176	0.6968949999999999
5	10010	7	80.20494980699999	33.73	62.467	3.9176589999999996
6	10011	8	75.029005295	50.472	61.98600000000001	1.212893
7	10012	14	6.842992397000001	23.410999999999998	58.313	2.2477080000000003
8	10013	9	47.573679775	28.709	38.304	1.7886099999999998
9	10014	7	2.2358669499999997	30.738000000000003	66.601	2.184255
10	10016	9	0.034378036	51.056999999999995	66.342	5.5412930000000005
11	10017	9	30.820133273000003	15.800999999999998	69.273	7.05028
12	10018	9	83.25693669500001	9.687000000000001	48.705	1.332674
13	10019	8	65.637626109	43.703	55.869	4.594574
14	10022	16	95.436956242	31.125	80.406	1.5592840000000001
15	10023	6	37.286945997	62.435	72.42399999999999	2.274053
16	10025	16	21.073384431	92.805	49.733000000000004	1.004708
17	10026	6	18.602433134	39.363	22.491	0.5425989999999999
18	10027	7	34.614973432	64.548	23.15	0.776551
19	10029	6	0.260189453	79.597	22.232	1.023962
20	10030	7	2.717964279	29.881999999999998	17.97	0.368464
21	10031	7	25.20050179	60.254	24.285	0.229765
22	10032	8	1.17827519	64.264	26.237	0.293141
23	10033	7	6.466820461999999	59.607	31.348000000000003	0.0035479999999999995
24	10034	13	4.111816147	42.91	29.479	0.066468
25	10036	6	46.36537836	27.428	41.001999999999995	3.327544
26	10038	12	58.163171749	22.8	31.316	0.46606099999999995
27	10040	8	39.586297988	44.571000000000005	27.905	0.146504
28	10301	12	0.014478861	38.733000000000004	45.62	0.006229
29	10452	8	63.794767433000004	76.078	20.605999999999998	0.018609999999999998
30	10453	9	63.023355102	79.60600000000001	21.109000000000005	0.034596999999999996
31	10454	9	18.665903028000002	38.203	14.270999999999999	0.069329
32	10455	11	5.136583547000001	42.283	19.389	0.026324
33	10457	4	39.839751208	74.554	19.233	0.011168
34	10459	15	30.864686056999997	48.351000000000006	17.498	0.017011000000000002
35	10460	8	12.165777172	59.505	19.517	0.010213
36	10461	11	2.15719629	50.348	40.024	0.01696
37	10462	16	24.891686542	76.756	33.735	0.033694999999999996
38	10463	8	0.46117257100000003	71.36	40.497	0.039402
39	10467	17	53.820977462	103.73200000000001	29.044	0.020604
40	10468	10	28.152714832	78.64699999999999	26.851999999999997	0.034719
41	10469	12	17.868850722	73.87	42.102	0.007253
42	10470	7	31.582742663999998	15.432	38.464	0.013038
43	10472	10	5.19670699	68.796	23.565	0.021779000000000003
44	11101	12	34.225425466000004	30.043000000000003	57.86600000000001	0.372501
45	11102	7	0.407347974	30.8	60.43600000000001	0.103905
46	11103	11	0.5163153699999999	36.14	65.229	0.317089
47	11201	16	90.37374555600003	62.82299999999999	56.293	0.726788
48	11205	9	0.239431543	46.06399999999999	28.07	0.16562000000000002
49	11206	15	22.448308421	88.34899999999999	18.660999999999998	0.127561
50	11207	17	1.482761419	91.972	24.163000000000004	0.009693
51	11209	6	35.784197185	67.809	44.518	0.063962
52	11211	14	4.39674348	102.624	23.566999999999997	0.40957600000000005
53	11212	10	1.123513087	76.527	20.839000000000002	0.039553
54	11213	9	1.563348445	66.295	26.366	0.162145
55	11214	9	66.270109873	92.946	33.765	0.036286
56	11215	12	0.6216352810000001	70.156	53.313	0.29373
57	11216	11	28.857385346999997	56.308	25.135	0.101552
58	11217	9	32.069957175999996	41.407	49.567	0.132858
59	11218	9	0.8691500329999999	74.508	36.431999999999995	0.065182
60	11219	16	6.234789577	90.036	26.648000000000003	0.041942
61	11221	12	0.288437532	83.835	22.304999999999996	0.076534
62	11222	13	0.377967513	36.492	33.578	0.17294600000000002
63	11223	9	0.319566993	81.789	32.104	0.020965
64	11224	13	0.37025862200000004	46.707	21.281	0.013347
65	11225	18	38.465670522	58.882	30.191999999999997	0.014368999999999998
66	11226	12	31.096741595	100.277	29.498	0.088854
67	11228	6	2.20885015	44.994	44.931999999999995	0.013718000000000001
68	11229	12	32.565008214	83.615	37.812	0.026400999999999997
69	11230	10	2.8701891330000002	89.075	32.327	0.028300000000000002
70	11231	9	1.6468169959999999	37.845	45.153999999999996	0.14060799999999998
71	11232	8	1.645962653	27.601999999999993	28.395	0.049625999999999997
72	11233	12	1.662674984	76.819	22.754	0.020071000000000002
73	11235	11	0.7209331370000001	78.128	31.013	0.016608
74	11237	10	0.18694310100000003	49.31	23.104	0.158309
75	11372	13	0.567994448	61.843999999999994	53.963	0.163303
76	11373	12	43.179878707	93.96700000000001	49.098	0.070745
77	11374	6	0.264440034	42.653	56.863	0.034051
78	11375	6	14.87734569	73.488	76.467	0.166695
79	11377	15	2.2520404970000003	86.421	54.989	0.12237
80	11385	11	0.407461599	106.71700000000001	64.48100000000001	0.055501999999999996
81	11417	13	1.731100985	31.927	69.98899999999999	0.007762000000000001
82	11421	13	0.7395958300000001	41.001999999999995	69.053	0.019593
83	11435	14	1.2858618419999999	59.29600000000001	59.535	0.036119
84	11691	12	16.191185667000003	67.094	39.946999999999996	0.009701999999999999
85	11692	14	1.705230953	20.991	45.816	0.008231
86	11693	13	0.060357226	12.919	57.443000000000005	0.000538
87	11694	12	1.42193252	21.354	77.547	0.0047420000000000006
