,LocationID,Borough,Zone,0,0
0,1,EWR,Newark Airport,-73.9791467,40.66782499999999
1,2,Queens,Jamaica Bay,139.7630049,35.7251496
2,3,Bronx,Allerton/Pelham Gardens,-73.7723759,40.715160499999996
3,4,Manhattan,Alphabet City,-73.7524331,41.026280150000005
4,5,Staten Island,Arden Heights,-73.9913844,40.6251562
5,6,Staten Island,Arrochar/Fort Wadsworth,139.7630049,35.7251496
6,7,Queens,Astoria,139.7630049,35.7251496
7,8,Queens,Astoria Park,139.7630049,35.7251496
8,9,Queens,Auburndale,137.17131999999998,36.662891
9,10,Queens,Baisley Park,-73.82519735,40.747189399999996
10,11,Brooklyn,Bath Beach,-73.83711844999999,40.94229195
11,12,Manhattan,Battery Park,139.7630049,35.7251496
12,13,Manhattan,Battery Park City,-73.83711844999999,40.94229195
13,14,Brooklyn,Bay Ridge,-74.0049611,40.710301349999995
14,15,Queens,Bay Terrace/Fort Totten,-74.0049611,40.710301349999995
15,16,Queens,Bayside,-73.82519735,40.747189399999996
16,17,Brooklyn,Bedford,-73.7723759,40.715160499999996
17,18,Bronx,Bedford Park,-73.89286365,41.29255245
18,19,Queens,Bellerose,-73.91280845,40.87328335
19,20,Bronx,Belmont,-73.91280845,40.87328335
20,21,Brooklyn,Bensonhurst East,-73.95394,40.764734250000004
21,22,Brooklyn,Bensonhurst West,-73.95394,40.764734250000004
22,23,Staten Island,Bloomfield/Emerson Hill,-74.0049611,40.710301349999995
23,24,Manhattan,Bloomingdale,-73.82519735,40.747189399999996
24,25,Brooklyn,Boerum Hill,-73.82519735,40.747189399999996
25,26,Brooklyn,Borough Park,-73.9791467,40.66782499999999
26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,-73.82519735,40.747189399999996
27,28,Queens,Briarwood/Jamaica Hills,-73.91280845,40.87328335
28,29,Brooklyn,Brighton Beach,-73.89286365,41.29255245
29,30,Queens,Broad Channel,139.7630049,35.7251496
30,31,Bronx,Bronx Park,,
31,32,Bronx,Bronxdale,,
32,33,Brooklyn,Brooklyn Heights,,
33,34,Brooklyn,Brooklyn Navy Yard,,
34,35,Brooklyn,Brownsville,,
35,36,Brooklyn,Bushwick North,,
36,37,Brooklyn,Bushwick South,,
37,38,Queens,Cambria Heights,,
38,39,Brooklyn,Canarsie,,
39,40,Brooklyn,Carroll Gardens,,
40,41,Manhattan,Central Harlem,,
41,42,Manhattan,Central Harlem North,,
42,43,Manhattan,Central Park,,
43,44,Staten Island,Charleston/Tottenville,,
44,45,Manhattan,Chinatown,,
45,46,Bronx,City Island,,
46,47,Bronx,Claremont/Bathgate,,
47,48,Manhattan,Clinton East,,
48,49,Brooklyn,Clinton Hill,,
49,50,Manhattan,Clinton West,,
50,51,Bronx,Co-Op City,,
51,52,Brooklyn,Cobble Hill,,
52,53,Queens,College Point,,
53,54,Brooklyn,Columbia Street,,
54,55,Brooklyn,Coney Island,,
55,56,Queens,Corona,,
56,57,Queens,Corona,,
57,58,Bronx,Country Club,,
58,59,Bronx,Crotona Park,,
59,60,Bronx,Crotona Park East,,
60,61,Brooklyn,Crown Heights North,,
61,62,Brooklyn,Crown Heights South,,
62,63,Brooklyn,Cypress Hills,,
63,64,Queens,Douglaston,,
64,65,Brooklyn,Downtown Brooklyn/MetroTech,,
65,66,Brooklyn,DUMBO/Vinegar Hill,,
66,67,Brooklyn,Dyker Heights,,
67,68,Manhattan,East Chelsea,,
68,69,Bronx,East Concourse/Concourse Village,,
69,70,Queens,East Elmhurst,,
70,71,Brooklyn,East Flatbush/Farragut,,
71,72,Brooklyn,East Flatbush/Remsen Village,,
72,73,Queens,East Flushing,,
73,74,Manhattan,East Harlem North,,
74,75,Manhattan,East Harlem South,,
75,76,Brooklyn,East New York,,
76,77,Brooklyn,East New York/Pennsylvania Avenue,,
77,78,Bronx,East Tremont,,
78,79,Manhattan,East Village,,
79,80,Brooklyn,East Williamsburg,,
80,81,Bronx,Eastchester,,
81,82,Queens,Elmhurst,,
82,83,Queens,Elmhurst/Maspeth,,
83,84,Staten Island,Eltingville/Annadale/Prince's Bay,,
84,85,Brooklyn,Erasmus,,
85,86,Queens,Far Rockaway,,
86,87,Manhattan,Financial District North,,
87,88,Manhattan,Financial District South,,
88,89,Brooklyn,Flatbush/Ditmas Park,,
89,90,Manhattan,Flatiron,,
90,91,Brooklyn,Flatlands,,
91,92,Queens,Flushing,,
92,93,Queens,Flushing Meadows-Corona Park,,
93,94,Bronx,Fordham South,,
94,95,Queens,Forest Hills,,
95,96,Queens,Forest Park/Highland Park,,
96,97,Brooklyn,Fort Greene,,
97,98,Queens,Fresh Meadows,,
98,99,Staten Island,Freshkills Park,,
99,100,Manhattan,Garment District,,
100,101,Queens,Glen Oaks,,
101,102,Queens,Glendale,,
102,103,Manhattan,Governor's Island/Ellis Island/Liberty Island,,
103,104,Manhattan,Governor's Island/Ellis Island/Liberty Island,,
104,105,Manhattan,Governor's Island/Ellis Island/Liberty Island,,
105,106,Brooklyn,Gowanus,,
106,107,Manhattan,Gramercy,,
107,108,Brooklyn,Gravesend,,
108,109,Staten Island,Great Kills,,
109,110,Staten Island,Great Kills Park,,
110,111,Brooklyn,Green-Wood Cemetery,,
111,112,Brooklyn,Greenpoint,,
112,113,Manhattan,Greenwich Village North,,
113,114,Manhattan,Greenwich Village South,,
114,115,Staten Island,Grymes Hill/Clifton,,
115,116,Manhattan,Hamilton Heights,,
116,117,Queens,Hammels/Arverne,,
117,118,Staten Island,Heartland Village/Todt Hill,,
118,119,Bronx,Highbridge,,
119,120,Manhattan,Highbridge Park,,
120,121,Queens,Hillcrest/Pomonok,,
121,122,Queens,Hollis,,
122,123,Brooklyn,Homecrest,,
123,124,Queens,Howard Beach,,
124,125,Manhattan,Hudson Sq,,
125,126,Bronx,Hunts Point,,
126,127,Manhattan,Inwood,,
127,128,Manhattan,Inwood Hill Park,,
128,129,Queens,Jackson Heights,,
129,130,Queens,Jamaica,,
130,131,Queens,Jamaica Estates,,
131,132,Queens,JFK Airport,,
132,133,Brooklyn,Kensington,,
133,134,Queens,Kew Gardens,,
134,135,Queens,Kew Gardens Hills,,
135,136,Bronx,Kingsbridge Heights,,
136,137,Manhattan,Kips Bay,,
137,138,Queens,LaGuardia Airport,,
138,139,Queens,Laurelton,,
139,140,Manhattan,Lenox Hill East,,
140,141,Manhattan,Lenox Hill West,,
141,142,Manhattan,Lincoln Square East,,
142,143,Manhattan,Lincoln Square West,,
143,144,Manhattan,Little Italy/NoLiTa,,
144,145,Queens,Long Island City/Hunters Point,,
145,146,Queens,Long Island City/Queens Plaza,,
146,147,Bronx,Longwood,,
147,148,Manhattan,Lower East Side,,
148,149,Brooklyn,Madison,,
149,150,Brooklyn,Manhattan Beach,,
150,151,Manhattan,Manhattan Valley,,
151,152,Manhattan,Manhattanville,,
152,153,Manhattan,Marble Hill,,
153,154,Brooklyn,Marine Park/Floyd Bennett Field,,
154,155,Brooklyn,Marine Park/Mill Basin,,
155,156,Staten Island,Mariners Harbor,,
156,157,Queens,Maspeth,,
157,158,Manhattan,Meatpacking/West Village West,,
158,159,Bronx,Melrose South,,
159,160,Queens,Middle Village,,
160,161,Manhattan,Midtown Center,,
161,162,Manhattan,Midtown East,,
162,163,Manhattan,Midtown North,,
163,164,Manhattan,Midtown South,,
164,165,Brooklyn,Midwood,,
165,166,Manhattan,Morningside Heights,,
166,167,Bronx,Morrisania/Melrose,,
167,168,Bronx,Mott Haven/Port Morris,,
168,169,Bronx,Mount Hope,,
169,170,Manhattan,Murray Hill,,
170,171,Queens,Murray Hill-Queens,,
171,172,Staten Island,New Dorp/Midland Beach,,
172,173,Queens,North Corona,,
173,174,Bronx,Norwood,,
174,175,Queens,Oakland Gardens,,
175,176,Staten Island,Oakwood,,
176,177,Brooklyn,Ocean Hill,,
177,178,Brooklyn,Ocean Parkway South,,
178,179,Queens,Old Astoria,,
179,180,Queens,Ozone Park,,
180,181,Brooklyn,Park Slope,,
181,182,Bronx,Parkchester,,
182,183,Bronx,Pelham Bay,,
183,184,Bronx,Pelham Bay Park,,
184,185,Bronx,Pelham Parkway,,
185,186,Manhattan,Penn Station/Madison Sq West,,
186,187,Staten Island,Port Richmond,,
187,188,Brooklyn,Prospect-Lefferts Gardens,,
188,189,Brooklyn,Prospect Heights,,
189,190,Brooklyn,Prospect Park,,
190,191,Queens,Queens Village,,
191,192,Queens,Queensboro Hill,,
192,193,Queens,Queensbridge/Ravenswood,,
193,194,Manhattan,Randalls Island,,
194,195,Brooklyn,Red Hook,,
195,196,Queens,Rego Park,,
196,197,Queens,Richmond Hill,,
197,198,Queens,Ridgewood,,
198,199,Bronx,Rikers Island,,
199,200,Bronx,Riverdale/North Riverdale/Fieldston,,
200,201,Queens,Rockaway Park,,
201,202,Manhattan,Roosevelt Island,,
202,203,Queens,Rosedale,,
203,204,Staten Island,Rossville/Woodrow,,
204,205,Queens,Saint Albans,,
205,206,Staten Island,Saint George/New Brighton,,
206,207,Queens,Saint Michaels Cemetery/Woodside,,
207,208,Bronx,Schuylerville/Edgewater Park,,
208,209,Manhattan,Seaport,,
209,210,Brooklyn,Sheepshead Bay,,
210,211,Manhattan,SoHo,,
211,212,Bronx,Soundview/Bruckner,,
212,213,Bronx,Soundview/Castle Hill,,
213,214,Staten Island,South Beach/Dongan Hills,,
214,215,Queens,South Jamaica,,
215,216,Queens,South Ozone Park,,
216,217,Brooklyn,South Williamsburg,,
217,218,Queens,Springfield Gardens North,,
218,219,Queens,Springfield Gardens South,,
219,220,Bronx,Spuyten Duyvil/Kingsbridge,,
220,221,Staten Island,Stapleton,,
221,222,Brooklyn,Starrett City,,
222,223,Queens,Steinway,,
223,224,Manhattan,Stuy Town/Peter Cooper Village,,
224,225,Brooklyn,Stuyvesant Heights,,
225,226,Queens,Sunnyside,,
226,227,Brooklyn,Sunset Park East,,
227,228,Brooklyn,Sunset Park West,,
228,229,Manhattan,Sutton Place/Turtle Bay North,,
229,230,Manhattan,Times Sq/Theatre District,,
230,231,Manhattan,TriBeCa/Civic Center,,
231,232,Manhattan,Two Bridges/Seward Park,,
232,233,Manhattan,UN/Turtle Bay South,,
233,234,Manhattan,Union Sq,,
234,235,Bronx,University Heights/Morris Heights,,
235,236,Manhattan,Upper East Side North,,
236,237,Manhattan,Upper East Side South,,
237,238,Manhattan,Upper West Side North,,
238,239,Manhattan,Upper West Side South,,
239,240,Bronx,Van Cortlandt Park,,
240,241,Bronx,Van Cortlandt Village,,
241,242,Bronx,Van Nest/Morris Park,,
242,243,Manhattan,Washington Heights North,,
243,244,Manhattan,Washington Heights South,,
244,245,Staten Island,West Brighton,,
245,246,Manhattan,West Chelsea/Hudson Yards,,
246,247,Bronx,West Concourse,,
247,248,Bronx,West Farms/Bronx River,,
248,249,Manhattan,West Village,,
249,250,Bronx,Westchester Village/Unionport,,
250,251,Staten Island,Westerleigh,,
251,252,Queens,Whitestone,,
252,253,Queens,Willets Point,,
253,254,Bronx,Williamsbridge/Olinville,,
254,255,Brooklyn,Williamsburg (North Side),,
255,256,Brooklyn,Williamsburg (South Side),,
256,257,Brooklyn,Windsor Terrace,,
257,258,Queens,Woodhaven,,
258,259,Bronx,Woodlawn/Wakefield,,
259,260,Queens,Woodside,,
260,261,Manhattan,World Trade Center,,
261,262,Manhattan,Yorkville East,,
262,263,Manhattan,Yorkville West,,
263,264,Unknown,Unknown,,
264,265,Unknown,Unknown,,
