location	entries	exits	latitude	longitude
57 st	1562813955	1293793302	40.763972	-73.97745
49 st	15179573	38332526	40.759901	-73.984139
times sq	1891325672	1428574727	40.754672	-73.986754
34 st	1569715592	2048945847	40.749567	-73.98795
28 st	1174475919	1392654054	40.745494	-73.988691
23 st	1999980135	1931827555	40.741303	-73.989344
14 st	2128947320	1510627720	40.740893	-74.00169
prince st	14065015	11960464	40.724329	-73.997702
canal st	1723259040	2031245778	40.719527	-74.001775
city hall	184938250	17088036	40.713282	-74.006978
cortlandt st	1058665973	871642143	40.710668	-74.011029
rector st	117745614	31322413	40.70722	-74.013342
bowery	2244965	2928030	40.72028	-73.993915
chambers st	2116021988	1712944644	40.713243	-74.003401
fulton st	1662459836	1762910746	40.710374	-74.007582
broad st	6581328	5802940	40.706476	-74.011056
7 av	12635098	14384820	40.67705	-73.972367
botanic garden	5355338	1952354	40.670343	-73.959245
prospect park	1569031284	1568997225	40.661614	-73.962246
parkside av	5204383	8181187	40.655292	-73.961495
church av	856228866	1577765655	40.650527	-73.962982
cortelyou rd	5596586	2434704	40.640927	-73.963891
newkirk plaza	17252916	17053009	40.635082	-73.962793
avenue h	117440652	811759	40.62927	-73.961639
avenue j	9413806	9398105	40.625039	-73.960803
avenue m	100662768	1635263	40.617618	-73.959399
kings hwy	756011537	763625260	40.60867	-73.957734
avenue u	1325339470	687907496	40.5993	-73.955929
neck rd	100662767	801651	40.595246	-73.955161
sheepshead bay	13316825	18767274	40.586896	-73.954155
brighton beach	15800616	13588733	40.577621	-73.961376
ocean pkwy	5898556	5897471	40.576312	-73.968501
borough hall	101175903	6709438	40.693219	-73.989998
dekalb av	1999923401	1999923404	40.690635	-73.981824
atl av	654312767	134263112	40.683666	-73.97881
union st	10985206	12827772	40.677316	-73.98311
prospect av	13055397	13036923	40.665414	-73.992872
25 st	10749248	7733037	40.660397	-73.998091
36 st	100821005	7717700	40.655144	-74.003549
45 st	3894651	7406692	40.648939	-74.010006
53 st	100956242	134021166	40.645069	-74.014034
bay ridge av	8127485	4988244	40.634967	-74.023377
77 st	140842929	24874084	40.629742	-74.02551
86 st	908826296	1875925945	40.622687	-74.028398
8 av	54699554	13150794	40.635064	-74.011719
new utrecht av	5566012	10742976	40.624842	-73.996353
18 av	1946684574	1358411550	40.607954	-74.001736
20 av	7784203	6693526	40.604556	-73.998168
bay pkwy	875420046	1556064279	40.601875	-73.993728
9 av	11381093	11065857	40.646292	-73.994324
50 st	335570165	335428854	40.63626	-73.994791
55 st	4801335	5159573	40.631435	-73.995476
71 st	8405591	8225684	40.619589	-73.998864
79 st	66804047	117207923	40.613501	-74.00061
25 av	3094646	3330600	40.597704	-73.986829
bay 50 st	6781456	7649972	40.588841	-73.983765
6 av	1209230295	1200540048	40.737335	-73.996786
3 av	882030924	1057267810	40.732849	-73.986122
1 av	370817118	387989612	40.730953	-73.981628
bedford av	25109942	30016608	40.717304	-73.956872
lorimer st	9184882	2046450	40.703869	-73.947408
graham av	14549657	11382370	40.714565	-73.944053
grand st	239016759	1406535326	40.711926	-73.94067
montrose av	134859409	7459763	40.707739	-73.93985
morgan av	2639160	1161397	40.706152	-73.933147
jefferson st	7426699	7704691	40.706607	-73.922913
halsey st	73432722	34560146	40.68637	-73.916559
wilson av	8037001	6372201	40.688764	-73.904046
sutter av	8623084	8583375	40.669367	-73.901975
livonia av	6616452	2031627	40.664038	-73.900571
marcy av	117441010	8467554	40.708359	-73.957757
hewes st	8199926	8170563	40.70687	-73.953431
flushing av	16932305	16880774	40.70026	-73.941126
myrtle av	13315142	22379014	40.697207	-73.935657
kosciuszko st	7250453	3919893	40.693342	-73.928814
gates av	5638131	5582886	40.68963	-73.92227
chauncey st	6039723	2243122	40.682893	-73.910456
alabama av	5162359	6284948	40.676992	-73.898654
van siclen av	6653506	8632265	40.678024	-73.891688
cleveland st	548538	537864	40.679947	-73.884639
norwood av	4539132	7101647	40.68141	-73.880039
crescent st	11104192	7136951	40.683194	-73.873785
cypress hills	4250589	2249465	40.689941	-73.87255
75 st	5697533	4208200	40.691324	-73.867139
woodhaven blvd	33526100	11804919	40.693879	-73.851576
104 st	1681084635	978333473	40.695178	-73.84433
111 st	50331858	16776932	40.697418	-73.836345
121 st	1945686554	520187483	40.700492	-73.828294
central av	1928780	3246018	40.697857	-73.927397
fresh pond rd	14267804	5870842	40.706186	-73.895877
metropolitan av	150995027	16063326	40.712792	-73.951418
dyckman st	13241204	11621776	40.865491	-73.927271
190 st	1437499312	1843862599	40.859022	-73.93418
181 st	15911714	20608504	40.851695	-73.937969
175 st	218377300	285574889	40.847391	-73.939704
168 st	53429206	22304788	40.840719	-73.939561
155 st	7676797	6617455	40.830518	-73.941514
145 st	655193529	1445064089	40.824783	-73.944216
135 st	117440806	117440813	40.817894	-73.947649
125 st	1862613176	1409607577	40.811109	-73.952343
116 st	1160111328	235484810	40.805085	-73.954882
cathedral pkwy	67582184	134541988	40.803967	-73.966847
103 st	25793808	44262797	40.796092	-73.961454
96 st	645642387	20770865	40.791642	-73.964696
72 st	689804964	1759686239	40.775594	-73.97641
59 st columbus	1398101386	1222758395	40.76266	-73.967258
42 st	2033864221	1830366246	40.757308	-73.989735
w 4 st	22236892	26449044	40.732338	-74.000495
spring st	342178519	85329448	40.726227	-74.003739
high st	1914977096	1904103630	40.699337	-73.990531
lafayette av	1962293646	318285133	40.686113	-73.973946
franklin av	306250620	2062244249	40.680596	-73.955827
nostrand av	12529394	24727070	40.680438	-73.950426
utica av	102515745	16777216	40.679364	-73.930729
ralph av	4267399	4343013	40.678822	-73.920786
rockaway av	6218659	6189336	40.67834	-73.911946
broadway jct	17298366	20854241	40.679498	-73.904512
liberty av	5624308	1988840	40.674542	-73.896548
shepherd av	7899763	9328330	40.67413	-73.88075
euclid av	8601961	4656633	40.675377	-73.872106
grant av	1207092336	1761414097	40.677044	-73.86505
80 st	117178668	117440806	40.679371	-73.858992
88 st	4498157	1342827	40.679843	-73.85147
rockaway blvd	135749018	8888215	40.680429	-73.843853
broad channel	993525	88100	40.608382	-73.815925
beach 90 st	3295238	3811517	40.588034	-73.813641
beach 98 st	1892644	2135009	40.585307	-73.820558
beach 105 st	117438839	1080022	40.583209	-73.827559
beach 67 st	5432840	4443984	40.590927	-73.796924
beach 60 st	117440856	5487769	40.592374	-73.788522
beach 44 st	1297087	1428497	40.592943	-73.776013
beach 36 st	1354574	1845025	40.595398	-73.768175
beach 25 st	644611609	968315233	40.600066	-73.761353
167 st	1828255368	1828998275	40.833771	-73.91844
170 st	934214801	1150156911	40.839306	-73.9134
174	4491848	2225102	40.8459	-73.910136
tremont av	218837774	167979684	40.85041	-73.905227
182	1474294827	1845231797	40.856093	-73.900741
fordham rd	1761685585	385886713	40.861296	-73.897749
kingsbridge rd	705134031	705123266	40.866978	-73.893509
5 av/53 st	14125507	31079056	40.760167	-73.975224
lexington av/53	1476841785	1595954857	40.757552	-73.969055
court sq	2066741485	681427266	40.747846	-73.946
queens plaza	51523487	17270398	40.748973	-73.937243
steinway st	15327711	13584912	40.756879	-73.92074
46 st	6055104	7360222	40.756312	-73.913333
northern blvd	7121861	7769786	40.752885	-73.906006
65 st	3267740	9150006	40.749669	-73.898453
elmhurst av	1624976529	1973074892	40.742454	-73.882017
67 av	11284462	11243980	40.726523	-73.852719
75 av	297448375	942292519	40.718331	-73.837324
sutphin blvd	84337895	3950799	40.70546	-73.810708
parsons blvd	10140257	2745828	40.707564	-73.803326
169 st	7282568	5628568	40.71047	-73.793604
21 st	16188757	11189826	40.744065	-73.949724
greenpoint av	5887867	6913775	40.731352	-73.954449
nassau av	8487671	6220610	40.724635	-73.951277
broadway	36958733	12194237	40.76182	-73.925508
classon av	36274762	8926381	40.688873	-73.96007
47	1925203490	2038329876	40.758663	-73.981329
2 av	67140425	26565502	40.723402	-73.989938
east broadway	101228819	17484579	40.713715	-73.990173
york st	4045091	24871364	40.701397	-73.986751
bergen st	11443608	7754773	40.686145	-73.990862
carroll st	151188213	20183708	40.680303	-73.995048
4 av	11449116	14814532	40.670272	-73.989779
ditmas av	67559390	5105601	40.636119	-73.978172
avenue i	3464804	995511304	40.625322	-73.976127
