location	entries	exits	latitude	longitude
57 st	1562813955	1293793302	40.763972	-73.97745
49 st	15179573	38332526	40.759901	-73.984139
times sq	1891325672	1428574727	40.754672	-73.986754
34 st	1569715592	2048945847	40.749567	-73.98795
28 st	1174475919	1392654054	40.745494	-73.988691
23 st	1999980135	1931827555	40.741303	-73.989344
14 st	2128947320	1510627720	40.740893	-74.00169
prince st	14065015	11960464	40.724329	-73.997702
canal st	1723259040	2031245778	40.719527	-74.001775
city hall	184938250	17088036	40.713282	-74.006978
cortlandt st	1058665973	871642143	40.710668	-74.011029
rector st	117745614	31322413	40.70722	-74.013342
bowery	2244965	2928030	40.72028	-73.993915
chambers st	2116021988	1712944644	40.713243	-74.003401
fulton st	1662459836	1762910746	40.710374	-74.007582
broad st	6581328	5802940	40.706476	-74.011056
7 av	12635098	14384820	40.67705	-73.972367
botanic garden	5355338	1952354	40.670343	-73.959245
prospect park	1569031284	1568997225	40.661614	-73.962246
