location	entries	exits	latitude	longitude
57 st	18750016	7928465	40.763972	-73.97745
49 st	14768010	37207076	40.759901	-73.984139
times sq	1891845221	1428264379	40.754672	-73.986754
34 st	1569427626	2048393773	40.749567	-73.98795
28 st	1174470412	1392594815	40.745494	-73.988691
23 st	1999468664	1931626513	40.741303	-73.989344
14 st	2129342740	1510912743	40.740893	-74.00169
prince st	13800016	11944745	40.724329	-73.997702
canal st	1724031711	2031041326	40.719527	-74.001775
city hall	184966628	17212507	40.713282	-74.006978
cortlandt st	1058666307	871597897	40.710668	-74.011029
rector st	117707687	16843257	40.70722	-74.013342
bowery	2116140	2799909	40.72028	-73.993915
chambers st	2115837223	1799926534	40.713243	-74.003401
fulton st	1662289351	1762910768	40.710374	-74.007582
broad st	6321075	5553463	40.706476	-74.011056
7 av	12541486	14099327	40.67705	-73.972367
botanic garden	5289111	1898489	40.670343	-73.959245
prospect park	1568726788	1568681396	40.661614	-73.962246
parkside av	5042321	7921107	40.655292	-73.961495
church av	856086636	1577604425	40.650527	-73.962982
cortelyou rd	5662088	2528274	40.640927	-73.963891
newkirk plaza	17053085	16946175	40.635082	-73.962793
avenue h	117440643	693013	40.62927	-73.961639
avenue j	9307840	9294407	40.625039	-73.960803
avenue m	100662800	1514302	40.617618	-73.959399
kings hwy	755708780	763625287	40.60867	-73.957734
avenue u	134319865	16777281	40.5993	-73.955929
neck rd	100662774	16893315	40.595246	-73.955161
sheepshead bay	13068385	18375369	40.586896	-73.954155
brighton beach	15320267	13310594	40.577621	-73.961376
ocean pkwy	5898554	5897473	40.576312	-73.968501
borough hall	101110708	14620663	40.693219	-73.989998
dekalb av	1927252776	1141491152	40.690635	-73.981824
atl av	654312782	134263112	40.683666	-73.97881
union st	10715051	12545087	40.677316	-73.98311
prospect av	12869488	12864490	40.665414	-73.992872
25 st	10439267	7593730	40.660397	-73.998091
36 st	101026194	7116905	40.655144	-74.003549
45 st	3620592	7146574	40.648939	-74.010006
53 st	100743752	134001219	40.645069	-74.014034
bay ridge av	7968074	4786045	40.634967	-74.023377
77 st	140416783	24637750	40.629742	-74.02551
86 st	972730116	1876104598	40.622687	-74.028398
8 av	56946973	19856583	40.635064	-74.011719
new utrecht av	2491215	2707604	40.624842	-73.996353
18 av	1946543367	1358550406	40.607954	-74.001736
20 av	6798104	6839370	40.604556	-73.998168
bay pkwy	775389525	1698368396	40.601875	-73.993728
9 av	11108803	11019170	40.646292	-73.994324
50 st	335129509	335116107	40.63626	-73.994791
55 st	4748942	5049291	40.631435	-73.995476
71 st	8417111	7992041	40.619589	-73.998864
79 st	66905285	117163482	40.613501	-74.00061
25 av	2963493	3078865	40.597704	-73.986829
bay 50 st	6684065	7443442	40.588841	-73.983765
6 av	1209697439	1200570793	40.737335	-73.996786
3 av	1942868112	1476862610	40.732849	-73.986122
1 av	955206577	998728953	40.730953	-73.981628
bedford av	24535601	29962654	40.717304	-73.956872
lorimer st	8827802	1965369	40.703869	-73.947408
graham av	14132479	11254943	40.714565	-73.944053
grand st	238712173	1406978669	40.711926	-73.94067
montrose av	134726598	7228529	40.707739	-73.93985
morgan av	2522824	1015344	40.706152	-73.933147
jefferson st	8452739	7206317	40.706607	-73.922913
halsey st	73411948	34503079	40.68637	-73.916559
wilson av	7689092	6164333	40.688764	-73.904046
sutter av	8609748	8601702	40.669367	-73.901975
livonia av	6111964	3319580	40.664038	-73.900571
marcy av	117440947	8076197	40.708359	-73.957757
hewes st	7998614	7967074	40.70687	-73.953431
flushing av	16476389	16422814	40.70026	-73.941126
myrtle av	13326582	22057504	40.697207	-73.935657
kosciuszko st	7149258	3685611	40.693342	-73.928814
gates av	3288159	4085770	40.68963	-73.92227
chauncey st	5530893	2112844	40.682893	-73.910456
alabama av	5030505	6105075	40.676992	-73.898654
van siclen av	6556085	8320208	40.678024	-73.891688
cleveland st	593593	380060	40.679947	-73.884639
norwood av	4521714	6906938	40.68141	-73.880039
crescent st	10906548	7200787	40.683194	-73.873785
cypress hills	4207776	2275780	40.689941	-73.87255
75 st	5743307	4258713	40.691324	-73.867139
